step,time_s,evidence_type,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count
0,0.000,replay,0.000000,0.015160,0.015160,7,7,0
1,1.000,replay,0.000000,0.009759,0.009759,7,7,0
2,2.000,replay,0.000000,0.009597,0.009597,7,7,0
3,3.000,replay,0.000000,0.008776,0.008776,7,7,0
4,4.000,replay,0.000000,0.008446,0.008446,7,7,0
5,5.000,replay,0.000000,0.008826,0.008826,7,7,0
6,6.000,replay,0.000000,0.008506,0.008506,7,7,0
7,7.000,replay,0.000000,0.011431,0.011431,7,7,0
8,8.000,replay,0.000000,0.007884,0.007884,7,7,0
9,9.000,replay,0.000000,0.008375,0.008375,7,7,0
10,10.000,replay,0.000000,0.008336,0.008336,7,7,0
11,11.000,replay,0.000000,0.008356,0.008356,7,7,0
12,12.000,replay,0.000000,0.007805,0.007805,7,7,0
13,13.000,replay,0.000000,0.007934,0.007934,7,7,0
14,14.000,replay,0.000000,0.011282,0.011282,7,7,0
15,15.000,replay,0.000000,0.008937,0.008937,7,7,0
16,16.000,replay,0.000000,0.008005,0.008005,7,7,0
17,17.000,replay,0.000000,0.011942,0.011942,7,7,0
18,18.000,replay,0.000000,0.007935,0.007935,7,7,0
19,19.000,replay,0.000000,0.008136,0.008136,7,7,0
20,20.000,replay,0.000000,0.008185,0.008185,7,7,0
21,21.000,replay,0.000000,0.011612,0.011612,7,7,0
22,22.000,replay,0.000000,0.008506,0.008506,7,7,0
23,23.000,replay,0.000000,0.008336,0.008336,7,7,0
24,24.000,replay,0.000000,0.011040,0.011040,7,7,0
25,25.000,replay,0.000000,0.008466,0.008466,7,7,0
26,26.000,replay,0.000000,0.008786,0.008786,7,7,0
27,27.000,replay,0.000000,0.012263,0.012263,7,7,0
28,28.000,replay,0.000000,0.024267,0.024267,7,7,0
29,29.000,replay,0.000000,0.008547,0.008547,7,7,0
30,30.000,replay,0.000000,0.008557,0.008557,7,7,0
31,31.000,replay,0.000000,0.008425,0.008425,7,7,0
32,32.000,replay,0.000000,0.008616,0.008616,7,7,0
33,33.000,replay,0.000000,0.008636,0.008636,7,7,0
34,34.000,replay,0.000000,0.011692,0.011692,7,7,0
35,35.000,replay,0.000000,0.008326,0.008326,7,7,0
36,36.000,replay,0.000000,0.008095,0.008095,7,7,0
37,37.000,replay,0.000000,0.008175,0.008175,7,7,0
38,38.000,replay,0.000000,0.011522,0.011522,7,7,0
39,39.000,replay,0.000000,0.008046,0.008046,7,7,0
40,40.000,replay,0.000000,0.011201,0.011201,7,7,0
41,41.000,replay,0.000000,0.008345,0.008345,7,7,0
42,42.000,replay,0.000000,0.008295,0.008295,7,7,0
43,43.000,replay,0.000000,0.011241,0.011241,7,7,0
44,44.000,replay,0.000000,0.008155,0.008155,7,7,0
45,45.000,replay,0.000000,0.008706,0.008706,7,7,0
46,46.000,replay,0.000000,0.008075,0.008075,7,7,0
47,47.000,replay,0.000000,0.015158,0.015158,7,7,0
48,48.000,replay,0.000000,0.008316,0.008316,7,7,0
49,49.000,replay,0.000000,0.008326,0.008326,7,7,0
50,50.000,replay,0.000000,0.008977,0.008977,7,7,0
51,51.000,replay,0.000000,0.008216,0.008216,7,7,0
52,52.000,replay,0.000000,0.008136,0.008136,7,7,0
53,53.000,replay,0.000000,0.008295,0.008295,7,7,0
54,54.000,replay,0.000000,0.017012,0.017012,7,7,0
55,55.000,replay,0.000000,0.008436,0.008436,7,7,0
56,56.000,replay,0.000000,0.019917,0.019917,7,7,0
57,57.000,replay,0.000000,0.008606,0.008606,7,7,0
58,58.000,replay,0.000000,0.008436,0.008436,7,7,0
59,59.000,replay,0.000000,0.008476,0.008476,7,7,0
60,60.000,replay,0.000000,0.011421,0.011421,7,7,0
61,61.000,replay,0.000000,0.008777,0.008777,7,7,0
62,62.000,replay,0.000000,0.009307,0.009307,8,8,0
63,63.000,replay,0.000000,0.008516,0.008516,8,8,0
64,64.000,replay,0.000000,0.008245,0.008245,8,8,0
65,65.000,replay,0.000000,0.008507,0.008507,8,8,0
66,66.000,replay,0.000000,0.008516,0.008516,8,8,0
67,67.000,replay,0.000000,0.011332,0.011332,8,8,0
68,68.000,replay,0.000000,0.008306,0.008306,8,8,0
69,69.000,replay,0.000000,0.008616,0.008616,8,8,0
70,70.000,replay,0.000000,0.008236,0.008236,8,8,0
71,71.000,replay,0.000000,0.008135,0.008135,8,8,0
72,72.000,replay,0.000000,0.008135,0.008135,8,8,0
73,73.000,replay,0.000000,0.008626,0.008626,8,8,0
74,74.000,replay,0.000000,0.011331,0.011331,8,8,0
75,75.000,replay,0.000000,0.012363,0.012363,8,9,0
76,76.000,replay,0.000000,0.008966,0.008966,8,9,0
77,77.000,replay,0.000000,0.012824,0.012824,8,9,0
78,78.000,replay,0.000000,0.008204,0.008204,8,9,0
79,79.000,replay,0.000000,0.008406,0.008406,8,9,0
80,80.000,replay,0.000000,0.012495,0.012495,8,9,0
81,81.000,replay,0.000000,0.008386,0.008386,8,9,0
82,82.000,replay,0.000000,0.008766,0.008766,8,9,0
83,83.000,replay,0.000000,0.008315,0.008315,8,9,0
84,84.000,replay,0.000000,0.008626,0.008626,9,10,0
85,85.000,replay,0.000000,0.008326,0.008326,8,9,0
86,86.000,replay,0.000000,0.011501,0.011501,8,9,0
87,87.000,replay,0.000000,0.012293,0.012293,9,10,0
88,88.000,replay,0.000000,0.008537,0.008537,9,10,0
89,89.000,replay,0.000000,0.008376,0.008376,9,10,0
90,90.000,replay,0.000000,0.008306,0.008306,9,10,0
91,91.000,replay,0.000000,0.008356,0.008356,9,10,0
92,92.000,replay,0.000000,0.008476,0.008476,9,10,0
93,93.000,replay,0.000000,0.012032,0.012032,9,10,0
94,94.000,replay,0.000000,0.008336,0.008336,9,10,0
95,95.000,replay,0.000000,0.008176,0.008176,9,10,0
96,96.000,replay,0.000000,0.008917,0.008917,10,11,0
97,97.000,replay,0.000000,0.008205,0.008205,9,10,0
98,98.000,replay,0.000000,0.008536,0.008536,10,11,0
99,99.000,replay,0.000000,0.008566,0.008566,9,10,0
100,100.000,replay,0.000000,0.008906,0.008906,10,11,0
101,101.000,replay,0.000000,0.012214,0.012214,10,11,0
102,102.000,replay,0.000000,0.015709,0.015709,10,11,0
103,103.000,replay,0.000000,0.008656,0.008656,10,11,0
104,104.000,replay,0.000000,0.008356,0.008356,10,11,0
105,105.000,replay,0.000000,0.008837,0.008837,10,11,0
106,106.000,replay,0.000000,0.008696,0.008696,10,11,0
107,107.000,replay,0.000000,0.008457,0.008457,10,11,0
108,108.000,replay,0.000000,0.008306,0.008306,10,11,0
109,109.000,replay,0.000000,0.008807,0.008807,10,11,0
110,110.000,replay,0.000000,0.008145,0.008145,10,11,0
111,111.000,replay,0.000000,0.008576,0.008576,10,11,0
112,112.000,replay,0.000000,0.008386,0.008386,10,11,0
113,113.000,replay,0.000000,0.008156,0.008156,10,11,0
114,114.000,replay,0.000000,0.008536,0.008536,10,11,0
115,115.000,replay,0.000000,0.011872,0.011872,10,11,0
116,116.000,replay,0.000000,0.008485,0.008485,10,11,0
117,117.000,replay,0.000000,0.008596,0.008596,10,11,0
118,118.000,replay,0.000000,0.008455,0.008455,10,11,0
119,119.000,replay,0.000000,0.008336,0.008336,10,11,0
120,120.000,replay,0.000000,0.024336,0.024336,10,11,0
