LAST SEEN   TYPE     REASON              OBJECT                             MESSAGE
6s          Normal   Created             pod/expert-0-84f9464596-mkz74      Container created
6s          Normal   Pulled              pod/expert-0-84f9464596-mkz74      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal   Created             pod/aggregator-6df8c89f66-qk7h6    Container created
6s          Normal   Pulled              pod/router-5cfcb749f8-9xrf2        Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal   Created             pod/router-5cfcb749f8-9xrf2        Container created
6s          Normal   Started             pod/router-5cfcb749f8-9xrf2        Container started
6s          Normal   Started             pod/expert-1-6f9f65844d-9gqwq      Container started
6s          Normal   Created             pod/expert-2-84b758f7d8-dz4w7      Container created
6s          Normal   Started             pod/aggregator-6df8c89f66-qk7h6    Container started
6s          Normal   Pulled              pod/tokenizer-9b6769ddb-q5h7m      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
5s          Normal   Created             pod/tokenizer-9b6769ddb-q5h7m      Container created
5s          Normal   Started             pod/tokenizer-9b6769ddb-q5h7m      Container started
5s          Normal   Created             pod/expert-5-5b8d6b6f76-5h9ps      Container created
5s          Normal   Started             pod/expert-5-5b8d6b6f76-5h9ps      Container started
