NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE            NOMINATED NODE   READINESS GATES
aggregator-6df8c89f66-qk7h6   1/1     Running   0          8s    192.168.65.3      emu-worker-1    <none>           <none>
cache-589b7c46fb-j5q9v        1/1     Running   0          8s    192.168.135.120   emu-worker-4    <none>           <none>
expert-0-84f9464596-mkz74     1/1     Running   0          8s    192.168.65.11     emu-worker-1    <none>           <none>
expert-1-6f9f65844d-9gqwq     1/1     Running   0          8s    192.168.65.4      emu-worker-1    <none>           <none>
expert-2-84b758f7d8-dz4w7     1/1     Running   0          8s    192.168.82.219    emu-worker-10   <none>           <none>
expert-3-7fcf9cd788-7p587     1/1     Running   0          8s    192.168.42.105    emu-worker-3    <none>           <none>
expert-4-64994445d4-ckgtc     1/1     Running   0          7s    192.168.137.226   emu-worker-2    <none>           <none>
expert-5-5b8d6b6f76-5h9ps     1/1     Running   0          7s    192.168.173.163   emu-worker-8    <none>           <none>
frontend-68849b855b-8wxgb     1/1     Running   0          9s    192.168.65.2      emu-worker-1    <none>           <none>
router-5cfcb749f8-9xrf2       1/1     Running   0          9s    192.168.65.9      emu-worker-1    <none>           <none>
tokenizer-9b6769ddb-q5h7m     1/1     Running   0          9s    192.168.65.7      emu-worker-1    <none>           <none>
