LAST SEEN   TYPE      REASON              OBJECT                           MESSAGE
8s          Normal    Scheduled           pod/cache-5bd7c6d8db-s74gr       Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-policy2/cache-5bd7c6d8db-s74gr to emu-worker-6
8s          Normal    Scheduled           pod/frontend-75f9d468b6-78n8p    Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-policy2/frontend-75f9d468b6-78n8p to emu-worker-1
8s          Normal    Scheduled           pod/expert-0-77db65857d-z56fv    Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-policy2/expert-0-77db65857d-z56fv to emu-worker-1
8s          Normal    Scheduled           pod/tokenizer-5ff86b976-gls94    Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-policy2/tokenizer-5ff86b976-gls94 to emu-worker-1
7s          Normal    Scheduled           pod/expert-3-57cb8c7c98-6llrx    Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-policy2/expert-3-57cb8c7c98-6llrx to emu-worker-8
7s          Normal    Scheduled           pod/expert-4-6db85b7454-wptzv    Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-policy2/expert-4-6db85b7454-wptzv to emu-worker-2
7s          Normal    Scheduled           pod/expert-1-5d946df866-xm2nv    Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-policy2/expert-1-5d946df866-xm2nv to emu-worker-1
6s          Normal    Scheduled           pod/expert-5-6dfd96fff4-2ss5d    Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-policy2/expert-5-6dfd96fff4-2ss5d to emu-worker-3
8s          Normal    Scheduled           pod/aggregator-d87f74cb-cmj4p    Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-policy2/aggregator-d87f74cb-cmj4p to emu-worker-1
8s          Normal    Scheduled           pod/router-7cbc66cf6d-qt85s      Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-policy2/router-7cbc66cf6d-qt85s to emu-worker-1
7s          Normal    Scheduled           pod/expert-2-6bf95ff4c4-zgt58    Successfully assigned moe-live-scale45-phase-shift-20260611t131002z-policy2/expert-2-6bf95ff4c4-zgt58 to emu-worker-4
9s          Normal    ScalingReplicaSet   deployment/tokenizer             Scaled up replica set tokenizer-5ff86b976 from 0 to 1
9s          Normal    SuccessfulCreate    replicaset/tokenizer-5ff86b976   Created pod: tokenizer-5ff86b976-gls94
9s          Normal    ScalingReplicaSet   deployment/frontend              Scaled up replica set frontend-75f9d468b6 from 0 to 1
9s          Normal    SuccessfulCreate    replicaset/frontend-75f9d468b6   Created pod: frontend-75f9d468b6-78n8p
8s          Normal    ScalingReplicaSet   deployment/router                Scaled up replica set router-7cbc66cf6d from 0 to 1
8s          Normal    SuccessfulCreate    replicaset/expert-1-5d946df866   Created pod: expert-1-5d946df866-xm2nv
8s          Normal    ScalingReplicaSet   deployment/expert-0              Scaled up replica set expert-0-77db65857d from 0 to 1
8s          Normal    ScalingReplicaSet   deployment/cache                 Scaled up replica set cache-5bd7c6d8db from 0 to 1
8s          Normal    SuccessfulCreate    replicaset/cache-5bd7c6d8db      Created pod: cache-5bd7c6d8db-s74gr
8s          Normal    SuccessfulCreate    replicaset/router-7cbc66cf6d     Created pod: router-7cbc66cf6d-qt85s
8s          Normal    ScalingReplicaSet   deployment/expert-4              Scaled up replica set expert-4-6db85b7454 from 0 to 1
8s          Normal    SuccessfulCreate    replicaset/expert-0-77db65857d   Created pod: expert-0-77db65857d-z56fv
8s          Normal    ScalingReplicaSet   deployment/expert-1              Scaled up replica set expert-1-5d946df866 from 0 to 1
