NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE            NOMINATED NODE   READINESS GATES
aggregator-6c6dcdb59c-lmlsc   1/1     Running   0          10s   192.168.65.17     emu-worker-1    <none>           <none>
cache-f8d8877f5-ct8n4         1/1     Running   0          10s   192.168.82.218    emu-worker-10   <none>           <none>
expert-0-749cc4957-fcwmd      1/1     Running   0          10s   192.168.65.12     emu-worker-1    <none>           <none>
expert-1-6bb57f5645-lcpqf     1/1     Running   0          10s   192.168.65.14     emu-worker-1    <none>           <none>
expert-2-6d999b465f-cdzvb     1/1     Running   0          10s   192.168.99.239    emu-worker-6    <none>           <none>
expert-3-cf8454487-6dpvj      1/1     Running   0          10s   192.168.42.107    emu-worker-3    <none>           <none>
expert-4-7d4fd78879-6fzdk     1/1     Running   0          8s    192.168.173.160   emu-worker-8    <none>           <none>
expert-5-8b79949f-qqdmh       1/1     Running   0          8s    192.168.71.83     emu-worker-9    <none>           <none>
frontend-578487b49c-h7db9     1/1     Running   0          11s   192.168.222.42    emu-worker-7    <none>           <none>
router-74d974449c-xvj4h       1/1     Running   0          11s   192.168.65.13     emu-worker-1    <none>           <none>
tokenizer-b8bdbd7f7-7g9tf     1/1     Running   0          11s   192.168.71.86     emu-worker-9    <none>           <none>
