NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE            NOMINATED NODE   READINESS GATES
aggregator-74f447b857-2267v   1/1     Running   0          10s   192.168.82.217    emu-worker-10   <none>           <none>
cache-df8f7c677-h9j6n         1/1     Running   0          10s   192.168.42.103    emu-worker-3    <none>           <none>
expert-0-768b598865-4md6d     1/1     Running   0          10s   192.168.173.166   emu-worker-8    <none>           <none>
expert-1-6b474bb6bf-5trb4     1/1     Running   0          9s    192.168.99.233    emu-worker-6    <none>           <none>
expert-2-7bd94674df-msvtb     1/1     Running   0          9s    192.168.137.223   emu-worker-2    <none>           <none>
expert-3-6d8446c989-h44ns     1/1     Running   0          9s    192.168.135.118   emu-worker-4    <none>           <none>
expert-4-78997675c7-rff22     1/1     Running   0          8s    192.168.82.216    emu-worker-10   <none>           <none>
expert-5-7cbb4fd969-lpc7c     1/1     Running   0          8s    192.168.65.50     emu-worker-1    <none>           <none>
frontend-54c6bdf5f9-9fxpw     1/1     Running   0          10s   192.168.137.224   emu-worker-2    <none>           <none>
router-68b7f9959c-69b7f       1/1     Running   0          10s   192.168.65.46     emu-worker-1    <none>           <none>
tokenizer-7b44f5875-npxjz     1/1     Running   0          10s   192.168.137.214   emu-worker-2    <none>           <none>
