NAME                     TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                                                            AGE   SELECTOR
compose-post-service     ClusterIP   10.100.158.2     <none>        9090/TCP                                                           96s   service=compose-post-service
home-timeline-redis      ClusterIP   10.111.43.161    <none>        6379/TCP                                                           96s   service=home-timeline-redis
home-timeline-service    ClusterIP   10.101.171.250   <none>        9090/TCP                                                           96s   service=home-timeline-service
jaeger                   ClusterIP   10.96.18.213     <none>        5775/UDP,6831/UDP,6832/UDP,5778/TCP,16686/TCP,14268/TCP,9411/TCP   96s   service=jaeger
media-frontend           ClusterIP   10.102.75.88     <none>        8081/TCP                                                           96s   service=media-frontend
media-memcached          ClusterIP   10.105.244.250   <none>        11211/TCP                                                          96s   service=media-memcached
media-mongodb            ClusterIP   10.104.169.197   <none>        27017/TCP                                                          96s   service=media-mongodb
media-service            ClusterIP   10.98.199.10     <none>        9090/TCP                                                           96s   service=media-service
nginx-thrift             ClusterIP   10.108.107.160   <none>        8080/TCP                                                           96s   service=nginx-thrift
post-storage-memcached   ClusterIP   10.97.41.81      <none>        11211/TCP                                                          96s   service=post-storage-memcached
post-storage-mongodb     ClusterIP   10.101.240.52    <none>        27017/TCP                                                          96s   service=post-storage-mongodb
post-storage-service     ClusterIP   10.105.162.61    <none>        9090/TCP                                                           96s   service=post-storage-service
social-graph-mongodb     ClusterIP   10.96.246.181    <none>        27017/TCP                                                          96s   service=social-graph-mongodb
social-graph-redis       ClusterIP   10.105.214.93    <none>        6379/TCP                                                           96s   service=social-graph-redis
social-graph-service     ClusterIP   10.99.83.238     <none>        9090/TCP                                                           96s   service=social-graph-service
text-service             ClusterIP   10.109.247.0     <none>        9090/TCP                                                           96s   service=text-service
unique-id-service        ClusterIP   10.108.40.22     <none>        9090/TCP                                                           96s   service=unique-id-service
url-shorten-memcached    ClusterIP   10.108.161.91    <none>        11211/TCP                                                          96s   service=url-shorten-memcached
url-shorten-mongodb      ClusterIP   10.99.122.144    <none>        27017/TCP                                                          96s   service=url-shorten-mongodb
url-shorten-service      ClusterIP   10.110.164.62    <none>        9090/TCP                                                           96s   service=url-shorten-service
user-memcached           ClusterIP   10.109.6.98      <none>        11211/TCP                                                          96s   service=user-memcached
user-mention-service     ClusterIP   10.101.24.214    <none>        9090/TCP                                                           96s   service=user-mention-service
user-mongodb             ClusterIP   10.110.134.223   <none>        27017/TCP                                                          96s   service=user-mongodb
user-service             ClusterIP   10.101.248.32    <none>        9090/TCP                                                           96s   service=user-service
user-timeline-mongodb    ClusterIP   10.107.181.213   <none>        27017/TCP                                                          96s   service=user-timeline-mongodb
user-timeline-redis      ClusterIP   10.97.232.63     <none>        6379/TCP                                                           96s   service=user-timeline-redis
user-timeline-service    ClusterIP   10.108.208.94    <none>        9090/TCP                                                           96s   service=user-timeline-service
