NAME             CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
emu-worker-1     71m          1%       3057Mi          19%         
emu-worker-10    81m          2%       2851Mi          17%         
emu-worker-11    58m          2%       2212Mi          25%         
emu-worker-12    62m          3%       2151Mi          24%         
emu-worker-13    55m          2%       2128Mi          24%         
emu-worker-14    49m          2%       2264Mi          25%         
emu-worker-15    51m          2%       2194Mi          24%         
emu-worker-16    37m          1%       2227Mi          25%         
emu-worker-17    63m          3%       2227Mi          25%         
emu-worker-18    30m          1%       2104Mi          23%         
emu-worker-19    55m          2%       2129Mi          24%         
emu-worker-2     95m          2%       4266Mi          26%         
emu-worker-20    76m          3%       2208Mi          25%         
emu-worker-21    19m          0%       2051Mi          23%         
emu-worker-22    38m          1%       2123Mi          24%         
emu-worker-23    45m          2%       2361Mi          26%         
emu-worker-24    56m          2%       2186Mi          24%         
emu-worker-25    37m          1%       2254Mi          25%         
emu-worker-26    37m          1%       2122Mi          24%         
emu-worker-27    31m          1%       2055Mi          23%         
emu-worker-28    63m          3%       2055Mi          23%         
emu-worker-29    58m          2%       2131Mi          24%         
emu-worker-3     77m          1%       3089Mi          19%         
emu-worker-30    52m          2%       2260Mi          25%         
emu-worker-31    46m          2%       2119Mi          23%         
emu-worker-32    27m          1%       2131Mi          24%         
emu-worker-33    63m          3%       2163Mi          24%         
emu-worker-34    32m          1%       2043Mi          23%         
emu-worker-35    53m          2%       2119Mi          23%         
emu-worker-36    68m          3%       2130Mi          24%         
emu-worker-37    64m          3%       2277Mi          25%         
emu-worker-38    58m          2%       2297Mi          26%         
emu-worker-39    68m          3%       2256Mi          25%         
emu-worker-4     24m          0%       2735Mi          17%         
emu-worker-40    37m          1%       2282Mi          25%         
emu-worker-41    54m          2%       2124Mi          24%         
emu-worker-42    71m          3%       2187Mi          24%         
emu-worker-43    45m          2%       2252Mi          25%         
emu-worker-44    65m          3%       2219Mi          25%         
emu-worker-45    35m          1%       2310Mi          26%         
emu-worker-5     62m          1%       2571Mi          16%         
emu-worker-6     71m          1%       3013Mi          18%         
emu-worker-7     68m          1%       3176Mi          19%         
emu-worker-8     84m          2%       3376Mi          21%         
emu-worker-9     165m         4%       3924Mi          24%         
k8s-emu-master   1320m        8%       8891Mi          13%         
