NAME             CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
emu-worker-1     70m          1%       3060Mi          19%         
emu-worker-10    53m          1%       2855Mi          17%         
emu-worker-11    59m          2%       2216Mi          25%         
emu-worker-12    56m          2%       2152Mi          24%         
emu-worker-13    59m          2%       2128Mi          24%         
emu-worker-14    59m          2%       2261Mi          25%         
emu-worker-15    49m          2%       2214Mi          25%         
emu-worker-16    34m          1%       2254Mi          25%         
emu-worker-17    54m          2%       2247Mi          25%         
emu-worker-18    38m          1%       2103Mi          23%         
emu-worker-19    40m          2%       2130Mi          24%         
emu-worker-2     91m          2%       4252Mi          26%         
emu-worker-20    48m          2%       2209Mi          25%         
emu-worker-21    23m          1%       2052Mi          23%         
emu-worker-22    42m          2%       2122Mi          24%         
emu-worker-23    49m          2%       2359Mi          26%         
emu-worker-24    54m          2%       2208Mi          24%         
emu-worker-25    41m          2%       2253Mi          25%         
emu-worker-26    41m          2%       2121Mi          24%         
emu-worker-27    35m          1%       2052Mi          23%         
emu-worker-28    55m          2%       2055Mi          23%         
emu-worker-29    49m          2%       2130Mi          24%         
emu-worker-3     53m          1%       3086Mi          19%         
emu-worker-30    50m          2%       2283Mi          25%         
emu-worker-31    38m          1%       2122Mi          24%         
emu-worker-32    35m          1%       2131Mi          24%         
emu-worker-33    52m          2%       2183Mi          24%         
emu-worker-34    33m          1%       2042Mi          23%         
emu-worker-35    47m          2%       2121Mi          24%         
emu-worker-36    67m          3%       2130Mi          24%         
emu-worker-37    54m          2%       2296Mi          25%         
emu-worker-38    107m         5%       2262Mi          25%         
emu-worker-39    56m          2%       2252Mi          25%         
emu-worker-4     31m          0%       2730Mi          17%         
emu-worker-40    48m          2%       2295Mi          25%         
emu-worker-41    42m          2%       2122Mi          24%         
emu-worker-42    67m          3%       2201Mi          24%         
emu-worker-43    51m          2%       2265Mi          25%         
emu-worker-44    57m          2%       2231Mi          25%         
emu-worker-45    563m         28%      2285Mi          25%         
emu-worker-5     55m          1%       2586Mi          16%         
emu-worker-6     66m          1%       3012Mi          18%         
emu-worker-7     65m          1%       3185Mi          20%         
emu-worker-8     163m         4%       3453Mi          21%         
emu-worker-9     1568m        39%      3994Mi          25%         
k8s-emu-master   391m         2%       8839Mi          13%         
