run_id,metric,unit,run,sources
social-smoke-scale45-20260523T172701Z,latency_p50_ms,ms,n/a,
social-smoke-scale45-20260523T172701Z,latency_p95_ms,ms,n/a,
social-smoke-scale45-20260523T172701Z,latency_p99_ms,ms,n/a,
social-smoke-scale45-20260523T172701Z,throughput_rps,requests/s,n/a,
social-smoke-scale45-20260523T172701Z,sla_violations,count,n/a,
social-smoke-scale45-20260523T172701Z,sla_violation_rate,ratio,n/a,
social-smoke-scale45-20260523T172701Z,scheduler_decision_time_ms,ms,n/a,
social-smoke-scale45-20260523T172701Z,gda_build_time_ms,ms,n/a,
social-smoke-scale45-20260523T172701Z,ndm_injection_time_ms,ms,n/a,
social-smoke-scale45-20260523T172701Z,cpu_overhead_pct,percent,n/a,
social-smoke-scale45-20260523T172701Z,memory_overhead_mb,MiB,n/a,
social-smoke-scale45-20260523T172701Z,migration_count,count,n/a,
social-smoke-scale45-20260523T172701Z,network_target_vs_measured_error,unitless,n/a,
social-smoke-scale45-20260523T172701Z,placement_cost_reduction_pct,percent,n/a,
