source,destination,active_steps,active_step_ratio,mean_weight,max_weight
cache,aggregator,12,1.000000,23.564105,31.378266
expert-0,aggregator,12,1.000000,29.626746,36.204564
expert-1,aggregator,12,1.000000,23.963299,29.672320
expert-2,aggregator,2,0.166667,0.863175,5.259765
frontend,router,12,1.000000,55.873881,69.636452
frontend,tokenizer,12,1.000000,40.994400,51.094894
router,cache,12,1.000000,43.873007,58.275381
router,expert-0,12,1.000000,33.326340,40.762113
router,expert-1,12,1.000000,27.110362,33.592577
router,expert-2,7,0.583333,3.169896,5.917235
