metric,value
mean_edge_jaccard_distance,0.02929291
mean_weighted_edge_distance,0.09091373
mean_hot_edge_rank_correlation,0.99305382
mean_graph_change_rate_per_s,9.09137788
mean_request_mix_entropy,2.28870250
mean_top3_hotspot_churn,0.00000000
mean_active_edge_count,8.75000000
mean_traffic_stress_gini,0.21908175
mean_traffic_stress_skew,0.26245325
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01436142
mean_gda_total_time_ms,0.01436142
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.97265489
traffic_stress_latency_correlation,0.45631379
kubernetes-default_mean_latency_ms,67.97156908
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,2.28870250
cga_mean_latency_ms,62.41044700
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,2.28870250
hda_mean_latency_ms,61.32451642
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,2.28870250
policy2_mean_latency_ms,63.07580667
policy2_mean_sla_violation_ratio,0.00000000
policy2_mean_request_mix_entropy,2.28870250
policy3_mean_latency_ms,60.23709258
policy3_mean_sla_violation_ratio,0.00000000
policy3_mean_request_mix_entropy,2.28870250
