policy,policy_display_name,evidence_type,steps,mean_latency_ms,mean_sla_violation_ratio,max_sla_violation_ratio,mean_request_mix_entropy,mean_active_edge_count,migration_count_available,policy_decision_time_available
cga,CGA,replay,1000,82.376088,0.000000,0.000000,1.407613,8.098000,False,False
hda,HDA,replay,1000,78.867896,0.000000,0.000000,1.407613,8.098000,False,False
kubernetes-default,K8s default,replay,1000,87.658506,0.000000,0.000000,1.407613,8.098000,False,False
