source,destination,active_steps,active_step_ratio,mean_weight,max_weight
cartservice,redis-cart,1000,1.000000,34.089731,88.593376
checkoutservice,cartservice,167,0.167000,8.995291,69.190098
checkoutservice,currencyservice,167,0.167000,4.497646,34.595049
checkoutservice,emailservice,167,0.167000,4.497646,34.595049
checkoutservice,paymentservice,167,0.167000,7.870880,60.541335
checkoutservice,productcatalogservice,167,0.167000,4.497646,34.595049
checkoutservice,shippingservice,167,0.167000,6.746468,51.892573
frontend,adservice,929,0.929000,12.016616,38.383912
frontend,cartservice,1000,1.000000,27.963667,96.572601
frontend,checkoutservice,167,0.167000,11.244114,86.487622
frontend,currencyservice,1000,1.000000,39.670557,105.223748
frontend,productcatalogservice,1000,1.000000,39.590251,111.410713
frontend,recommendationservice,1000,1.000000,15.567853,64.981041
recommendationservice,productcatalogservice,1000,1.000000,20.757137,86.641388
