metric,value
mean_edge_jaccard_distance,0.04633755
mean_weighted_edge_distance,0.17268012
mean_hot_edge_rank_correlation,0.76083907
mean_graph_change_rate_per_s,0.17268012
mean_request_mix_entropy,1.40761304
mean_top3_hotspot_churn,0.16806807
mean_active_edge_count,8.09800000
mean_traffic_stress_gini,0.38883203
mean_traffic_stress_skew,0.83286310
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01111725
mean_gda_total_time_ms,0.01111725
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.71000657
traffic_stress_latency_correlation,0.26197232
kubernetes-default_mean_latency_ms,87.65850594
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.40761304
cga_mean_latency_ms,82.37608848
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.40761304
hda_mean_latency_ms,78.86789556
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.40761304
