NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE            NOMINATED NODE   READINESS GATES
aggregator-58c576cdd9-kxrlv   1/1     Running   0          7s    192.168.65.62     emu-worker-1    <none>           <none>
cache-747bc-bdpv7             1/1     Running   0          7s    192.168.71.124    emu-worker-9    <none>           <none>
expert-0-556fdc5f45-22mdh     1/1     Running   0          7s    192.168.65.61     emu-worker-1    <none>           <none>
expert-1-77fb578d6c-dp459     1/1     Running   0          7s    192.168.65.59     emu-worker-1    <none>           <none>
expert-2-5d7bfbc5cf-xj9nc     1/1     Running   0          7s    192.168.82.194    emu-worker-10   <none>           <none>
expert-3-65657b69d5-kfjsl     1/1     Running   0          6s    192.168.99.206    emu-worker-6    <none>           <none>
expert-4-55d4d9cdc5-psmm9     1/1     Running   0          6s    192.168.173.132   emu-worker-8    <none>           <none>
expert-5-5f5bdc899c-4xnmb     1/1     Running   0          6s    192.168.137.248   emu-worker-2    <none>           <none>
frontend-575cd4c59c-8wvsl     1/1     Running   0          8s    192.168.42.78     emu-worker-3    <none>           <none>
router-6d6c9589-bhckt         1/1     Running   0          8s    192.168.65.60     emu-worker-1    <none>           <none>
tokenizer-65cdd4577-46458     1/1     Running   0          8s    192.168.222.27    emu-worker-7    <none>           <none>
