NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE            NOMINATED NODE   READINESS GATES
aggregator-59f4c774df-jzpvj   1/1     Running   0          5s    192.168.137.243   emu-worker-2    <none>           <none>
cache-7d6fb69df7-lbqvs        1/1     Running   0          5s    192.168.173.131   emu-worker-8    <none>           <none>
expert-0-6474cdf98f-4rppk     1/1     Running   0          5s    192.168.71.121    emu-worker-9    <none>           <none>
expert-1-5b68c76d87-zq48p     1/1     Running   0          5s    192.168.99.202    emu-worker-6    <none>           <none>
expert-2-b866f5465-qwcf7      1/1     Running   0          5s    192.168.222.26    emu-worker-7    <none>           <none>
expert-3-6c79b5d55f-gmx59     1/1     Running   0          5s    192.168.137.251   emu-worker-2    <none>           <none>
expert-4-7b7997455c-tq6ss     1/1     Running   0          5s    192.168.65.45     emu-worker-1    <none>           <none>
expert-5-7f88f78df5-xk4fw     1/1     Running   0          4s    192.168.173.191   emu-worker-8    <none>           <none>
frontend-6ffb5c58bc-8qvp8     1/1     Running   0          5s    192.168.99.204    emu-worker-6    <none>           <none>
router-5f8fdd9f89-tfmgp       1/1     Running   0          5s    192.168.82.246    emu-worker-10   <none>           <none>
tokenizer-68b94bdc9f-56xw6    1/1     Running   0          5s    192.168.71.125    emu-worker-9    <none>           <none>
