metric,value
mean_edge_jaccard_distance,0.00993129
mean_weighted_edge_distance,0.04196554
mean_hot_edge_rank_correlation,0.99941080
mean_graph_change_rate_per_s,0.04196555
mean_request_mix_entropy,1.95664949
mean_top3_hotspot_churn,0.00250250
mean_active_edge_count,9.04900000
mean_traffic_stress_gini,0.30744328
mean_traffic_stress_skew,0.40227749
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01064597
mean_gda_total_time_ms,0.01064597
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.97697385
traffic_stress_latency_correlation,0.77751638
kubernetes-default_mean_latency_ms,82.51967460
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.95664949
cga_mean_latency_ms,77.54558704
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.95664949
hda_mean_latency_ms,74.24294733
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.95664949
