benchmark,scale,replica_level,workload_mode,policy,evidence_type,steps,mean_latency_ms,p95_latency_ms,mean_sla_violation_ratio,mean_throughput_rps,mean_active_edge_count,mean_gda_total_time_ms,pod_node_occupancy_ratio
online-boutique,scale45,replica5,sinusoidal,cga,replay,1000,77.545587,84.066509,0.000000,120.000000,9.049000,0.010646,
online-boutique,scale45,replica5,sinusoidal,hda,replay,1000,74.242947,80.955520,0.000000,120.000000,9.049000,0.010646,
online-boutique,scale45,replica5,sinusoidal,kubernetes-default,replay,1000,82.519675,89.911149,0.000000,120.000000,9.049000,0.010646,
