source,destination,active_steps,active_step_ratio,mean_weight,max_weight
cartservice,redis-cart,1000,1.000000,26.925112,48.227890
checkoutservice,cartservice,421,0.421000,3.624225,11.670049
checkoutservice,currencyservice,143,0.143000,0.767546,5.835024
checkoutservice,emailservice,143,0.143000,0.767546,5.835024
checkoutservice,paymentservice,378,0.378000,2.969263,10.211293
checkoutservice,productcatalogservice,143,0.143000,0.767546,5.835024
checkoutservice,shippingservice,329,0.329000,2.316359,8.752537
frontend,adservice,1000,1.000000,18.482305,30.668711
frontend,cartservice,1000,1.000000,25.147866,43.748403
frontend,checkoutservice,492,0.492000,4.932954,14.587561
frontend,currencyservice,1000,1.000000,45.162069,68.075193
frontend,productcatalogservice,1000,1.000000,56.082624,90.640451
frontend,recommendationservice,1000,1.000000,29.495664,50.240996
recommendationservice,productcatalogservice,1000,1.000000,39.327552,66.987995
