metric,value
mean_edge_jaccard_distance,0.00066801
mean_weighted_edge_distance,0.04078464
mean_hot_edge_rank_correlation,0.99965523
mean_graph_change_rate_per_s,0.00815693
mean_request_mix_entropy,1.48898897
mean_top3_hotspot_churn,0.00400802
mean_active_edge_count,14.98600000
mean_traffic_stress_gini,0.25541419
mean_traffic_stress_skew,0.85619967
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay/model/control-plane
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.97964772
traffic_stress_latency_correlation,0.82205444
kubernetes-default_mean_latency_ms,101.94312753
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.48898897
cga_mean_latency_ms,95.85648695
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.48898897
hda_mean_latency_ms,91.81971206
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.48898897
