metric,value
mean_edge_jaccard_distance,0.01168251
mean_weighted_edge_distance,0.04290798
mean_hot_edge_rank_correlation,0.99654019
mean_graph_change_rate_per_s,0.04290798
mean_request_mix_entropy,1.95664950
mean_top3_hotspot_churn,0.01256281
mean_active_edge_count,9.03500000
mean_traffic_stress_gini,0.30712790
mean_traffic_stress_skew,0.40162410
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01083379
mean_gda_total_time_ms,0.01083379
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.97796228
traffic_stress_latency_correlation,0.79003007
kubernetes-default_mean_latency_ms,82.60911331
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.95664950
cga_mean_latency_ms,77.48619759
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.95664950
hda_mean_latency_ms,74.24124665
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.95664950
