run_id,metric,unit,workload-mixer,sources
continuous-callgraph-scale10-20260523T182406Z,latency_p50_ms,ms,108.38,workload-mixer:raw/request_mix_timeseries.csv#latency_ms
continuous-callgraph-scale10-20260523T182406Z,latency_p95_ms,ms,122.30,workload-mixer:raw/request_mix_timeseries.csv#latency_ms
continuous-callgraph-scale10-20260523T182406Z,latency_p99_ms,ms,126.08,workload-mixer:raw/request_mix_timeseries.csv#latency_ms
continuous-callgraph-scale10-20260523T182406Z,throughput_rps,requests/s,120.00,workload-mixer:raw/request_mix_timeseries.csv#qps_*
continuous-callgraph-scale10-20260523T182406Z,sla_violations,count,n/a,
continuous-callgraph-scale10-20260523T182406Z,sla_violation_rate,ratio,0.0000,workload-mixer:raw/request_mix_timeseries.csv#sla_violation_ratio
continuous-callgraph-scale10-20260523T182406Z,scheduler_decision_time_ms,ms,n/a,
continuous-callgraph-scale10-20260523T182406Z,gda_build_time_ms,ms,n/a,
continuous-callgraph-scale10-20260523T182406Z,ndm_injection_time_ms,ms,n/a,
continuous-callgraph-scale10-20260523T182406Z,cpu_overhead_pct,percent,n/a,
continuous-callgraph-scale10-20260523T182406Z,memory_overhead_mb,MiB,n/a,
continuous-callgraph-scale10-20260523T182406Z,migration_count,count,n/a,
continuous-callgraph-scale10-20260523T182406Z,network_target_vs_measured_error,unitless,n/a,
