metric,value
mean_edge_jaccard_distance,0.01578234
mean_weighted_edge_distance,0.09878360
mean_hot_edge_rank_correlation,0.97815566
mean_graph_change_rate_per_s,0.04939180
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.88566622
traffic_stress_latency_correlation,0.64078150
kubernetes_mean_latency_ms,106.94558158
kubernetes_mean_sla_violation_ratio,0.00000000
policy1_mean_latency_ms,100.71205072
policy1_mean_sla_violation_ratio,0.00000000
policy4_mean_latency_ms,96.35614914
policy4_mean_sla_violation_ratio,0.00000000
