metric,value
mean_default_cost,459619.61141735
mean_default_latency_ms,28.03872942
mean_default_cost_reduction_pct,0.00000000
manifest_default_bytes,20544.00000000
mean_policy2_cost,336032.63783635
mean_policy2_latency_ms,25.88166565
mean_policy2_cost_reduction_pct,26.13943475
manifest_policy2_bytes,24383.00000000
mean_policy3_cost,339616.63783635
mean_policy3_latency_ms,25.84036443
mean_policy3_cost_reduction_pct,25.34533875
manifest_policy3_bytes,24393.00000000
mean_policy4_cost,336928.63783635
mean_policy4_latency_ms,25.90755725
mean_policy4_cost_reduction_pct,25.94091080
manifest_policy4_bytes,24365.00000000
best_policy,policy2
best_cost_reduction_pct,26.13943475
best_latency_ms,25.88166565
