condition,container,cpu_cores,memory_mib,namespace,pod,rep,role,run_id,scale
no-sidecar,fortio-server,0.0044126539388805635,8.4296875,idyn-mesh-scale20-nosc,fortio-server-b67f766d9-dhjrp,4,server,mesh-overhead-20260523T165749Z,scale20
no-sidecar,fortio-client,0.007495252987825314,4.41796875,idyn-mesh-scale20-nosc,fortio-client-7b8cdb8d8-8g46s,5,client,mesh-overhead-20260523T165749Z,scale20
no-sidecar,fortio-server,0.003225780950741602,8.375,idyn-mesh-scale20-nosc,fortio-server-b67f766d9-dhjrp,5,server,mesh-overhead-20260523T165749Z,scale20
sidecar,fortio-server,0.005661093460095718,7.9765625,idyn-mesh-scale20-sc,fortio-server-b67f766d9-cp8mm,1,server,mesh-overhead-20260523T165749Z,scale20
sidecar,fortio-client,0.007985297467956731,11.31640625,idyn-mesh-scale20-sc,fortio-client-7b8cdb8d8-prqds,1,client,mesh-overhead-20260523T165749Z,scale20
sidecar,istio-proxy,0.022062780269058297,34.05078125,idyn-mesh-scale20-sc,fortio-client-7b8cdb8d8-prqds,1,client,mesh-overhead-20260523T165749Z,scale20
sidecar,istio-proxy,0.02861025897521396,33.54296875,idyn-mesh-scale20-sc,fortio-server-b67f766d9-cp8mm,1,server,mesh-overhead-20260523T165749Z,scale20
sidecar,fortio-server,0.004290133333333334,8.14453125,idyn-mesh-scale20-sc,fortio-server-b67f766d9-cp8mm,2,server,mesh-overhead-20260523T165749Z,scale20
sidecar,fortio-client,0.0071279259327612175,4.3671875,idyn-mesh-scale20-sc,fortio-client-7b8cdb8d8-prqds,2,client,mesh-overhead-20260523T165749Z,scale20
sidecar,istio-proxy,0.026006745270084997,34.4609375,idyn-mesh-scale20-sc,fortio-client-7b8cdb8d8-prqds,2,client,mesh-overhead-20260523T165749Z,scale20
sidecar,istio-proxy,0.01086837537899772,35.68359375,idyn-mesh-scale20-sc,fortio-server-b67f766d9-cp8mm,2,server,mesh-overhead-20260523T165749Z,scale20
sidecar,fortio-server,0.009602647668131981,8.4453125,idyn-mesh-scale20-sc,fortio-server-b67f766d9-cp8mm,3,server,mesh-overhead-20260523T165749Z,scale20
sidecar,fortio-client,0.005508315860120926,10.8203125,idyn-mesh-scale20-sc,fortio-client-7b8cdb8d8-prqds,3,client,mesh-overhead-20260523T165749Z,scale20
sidecar,istio-proxy,0.00944523255002032,34.6171875,idyn-mesh-scale20-sc,fortio-client-7b8cdb8d8-prqds,3,client,mesh-overhead-20260523T165749Z,scale20
sidecar,istio-proxy,0.02435192826098916,35.78515625,idyn-mesh-scale20-sc,fortio-server-b67f766d9-cp8mm,3,server,mesh-overhead-20260523T165749Z,scale20
sidecar,fortio-server,0.006629989365473235,8.75,idyn-mesh-scale20-sc,fortio-server-b67f766d9-cp8mm,4,server,mesh-overhead-20260523T165749Z,scale20
sidecar,fortio-client,0.01167562286272594,11.1484375,idyn-mesh-scale20-sc,fortio-client-7b8cdb8d8-prqds,4,client,mesh-overhead-20260523T165749Z,scale20
sidecar,istio-proxy,0.005720871239127327,35.234375,idyn-mesh-scale20-sc,fortio-client-7b8cdb8d8-prqds,4,client,mesh-overhead-20260523T165749Z,scale20
sidecar,istio-proxy,0.020921992924528305,35.87890625,idyn-mesh-scale20-sc,fortio-server-b67f766d9-cp8mm,4,server,mesh-overhead-20260523T165749Z,scale20
sidecar,fortio-server,0.005704852320675107,8.4921875,idyn-mesh-scale20-sc,fortio-server-b67f766d9-cp8mm,5,server,mesh-overhead-20260523T165749Z,scale20
sidecar,fortio-client,0.008310864146240129,11.015625,idyn-mesh-scale20-sc,fortio-client-7b8cdb8d8-prqds,5,client,mesh-overhead-20260523T165749Z,scale20
sidecar,istio-proxy,0.026334168791322755,34.7890625,idyn-mesh-scale20-sc,fortio-client-7b8cdb8d8-prqds,5,client,mesh-overhead-20260523T165749Z,scale20
sidecar,istio-proxy,0.021523127981746513,36.0859375,idyn-mesh-scale20-sc,fortio-server-b67f766d9-cp8mm,5,server,mesh-overhead-20260523T165749Z,scale20
no-sidecar,fortio-server,0.005819414772422174,7.4453125,idyn-mesh-scale45-nosc,fortio-server-5446fcf6f6-466qv,1,server,mesh-overhead-20260523T165749Z,scale45
no-sidecar,fortio-client,0.006158922645893126,4.1015625,idyn-mesh-scale45-nosc,fortio-client-7f7c96d879-mkp8c,1,client,mesh-overhead-20260523T165749Z,scale45
no-sidecar,fortio-server,0.008794154346428707,8.2734375,idyn-mesh-scale45-nosc,fortio-server-5446fcf6f6-466qv,2,server,mesh-overhead-20260523T165749Z,scale45
no-sidecar,fortio-client,0.0013791537304055528,10.24609375,idyn-mesh-scale45-nosc,fortio-client-7f7c96d879-mkp8c,2,client,mesh-overhead-20260523T165749Z,scale45
no-sidecar,fortio-server,0.0056639011511701465,8.33203125,idyn-mesh-scale45-nosc,fortio-server-5446fcf6f6-466qv,3,server,mesh-overhead-20260523T165749Z,scale45
no-sidecar,fortio-client,0.00232182544559165,10.546875,idyn-mesh-scale45-nosc,fortio-client-7f7c96d879-mkp8c,3,client,mesh-overhead-20260523T165749Z,scale45
no-sidecar,fortio-server,0.012734342118448738,8.55859375,idyn-mesh-scale45-nosc,fortio-server-5446fcf6f6-466qv,4,server,mesh-overhead-20260523T165749Z,scale45
no-sidecar,fortio-client,0.006983544598209092,11.04296875,idyn-mesh-scale45-nosc,fortio-client-7f7c96d879-mkp8c,4,client,mesh-overhead-20260523T165749Z,scale45
no-sidecar,fortio-server,0.007671542568473388,8.7265625,idyn-mesh-scale45-nosc,fortio-server-5446fcf6f6-466qv,5,server,mesh-overhead-20260523T165749Z,scale45
no-sidecar,fortio-client,0.00788064351378958,10.9375,idyn-mesh-scale45-nosc,fortio-client-7f7c96d879-mkp8c,5,client,mesh-overhead-20260523T165749Z,scale45
sidecar,istio-proxy,0.027084673440846745,32.14453125,idyn-mesh-scale45-sc,fortio-client-7f7c96d879-lhsfd,1,client,mesh-overhead-20260523T165749Z,scale45
sidecar,fortio-client,0.005097276409492039,4.40234375,idyn-mesh-scale45-sc,fortio-client-7f7c96d879-lhsfd,1,client,mesh-overhead-20260523T165749Z,scale45
sidecar,fortio-server,0.005042266666666666,7.84765625,idyn-mesh-scale45-sc,fortio-server-5446fcf6f6-bznng,1,server,mesh-overhead-20260523T165749Z,scale45
sidecar,istio-proxy,0.02481329923273657,34.5078125,idyn-mesh-scale45-sc,fortio-server-5446fcf6f6-bznng,1,server,mesh-overhead-20260523T165749Z,scale45
sidecar,istio-proxy,0.01650478369384359,33.23046875,idyn-mesh-scale45-sc,fortio-client-7f7c96d879-lhsfd,2,client,mesh-overhead-20260523T165749Z,scale45
