actual_duration_s,condition,namespace,ok,p50_ms,p95_ms,p99_ms,rep,requests,run_id,scale,status_200,throughput_rps
14.881554138,no-sidecar,idyn-mesh-scale5-nosc,True,0.816475786,1.8760084925690024,4.053798150000002,1,1488,mesh-overhead-20260523T165749Z,scale5,1488,99.98955661495037
14.881939939,no-sidecar,idyn-mesh-scale5-nosc,True,1.0862150926365797,1.675292909263658,1.7276553818527316,2,1488,mesh-overhead-20260523T165749Z,scale5,1488,99.98696447500828
14.882206586,no-sidecar,idyn-mesh-scale5-nosc,True,1.1819051686615887,1.877926316866159,1.939794863373232,3,1488,mesh-overhead-20260523T165749Z,scale5,1488,99.9851729917385
14.881677718,no-sidecar,idyn-mesh-scale5-nosc,True,1.151805192825112,1.8386211192825113,1.8996714238565022,4,1488,mesh-overhead-20260523T165749Z,scale5,1488,99.98872628455075
14.881819424,no-sidecar,idyn-mesh-scale5-nosc,True,1.1479693891402714,1.855685838914027,1.9185939677828054,5,1488,mesh-overhead-20260523T165749Z,scale5,1488,99.98777418306081
14.886704254,sidecar,idyn-mesh-scale5-sc,True,4.636363636363637,5.85449591280654,6.138074485714285,1,1488,mesh-overhead-20260523T165749Z,scale5,1488,99.95496482038193
14.885327611,sidecar,idyn-mesh-scale5-sc,True,4.403273809523809,5.969675090252708,7.396521739130432,2,1488,mesh-overhead-20260523T165749Z,scale5,1488,99.964208977194
14.885994227,sidecar,idyn-mesh-scale5-sc,True,4.672090112640801,6.045614035087719,7.341333333333336,3,1488,mesh-overhead-20260523T165749Z,scale5,1488,99.95973243769551
14.885960408,sidecar,idyn-mesh-scale5-sc,True,4.86853448275862,6.816161616161616,7.491070625263157,4,1488,mesh-overhead-20260523T165749Z,scale5,1488,99.9599595334353
14.884985078,sidecar,idyn-mesh-scale5-sc,True,4.601307189542484,5.931288343558283,6.488519187692308,5,1488,mesh-overhead-20260523T165749Z,scale5,1488,99.96650935171331
14.88187185,no-sidecar,idyn-mesh-scale20-nosc,True,0.8870940807174889,1.8808798646362097,1.9815905245346865,1,1488,mesh-overhead-20260523T165749Z,scale20,1488,99.98742194517688
14.881778618,no-sidecar,idyn-mesh-scale20-nosc,True,0.8958608622620381,1.8989619377162632,3.0470092000000015,2,1488,mesh-overhead-20260523T165749Z,scale20,1488,99.98804835063298
14.882549073,no-sidecar,idyn-mesh-scale20-nosc,True,0.8383643918781726,1.8569138276553105,1.976192384769539,3,1488,mesh-overhead-20260523T165749Z,scale20,1488,99.98287206722789
14.882832794,no-sidecar,idyn-mesh-scale20-nosc,True,0.8588367647058823,1.8707746478873237,1.9755633802816899,4,1488,mesh-overhead-20260523T165749Z,scale20,1488,99.98096602952401
14.881963947,no-sidecar,idyn-mesh-scale20-nosc,True,0.9270863224637681,1.8701376239757206,1.958729124795144,5,1488,mesh-overhead-20260523T165749Z,scale20,1488,99.98680317324384
14.887444927,sidecar,idyn-mesh-scale20-sc,True,5.493103448275861,6.960504201680673,10.186666666666673,1,1488,mesh-overhead-20260523T165749Z,scale20,1488,99.9499919090448
14.887012035,sidecar,idyn-mesh-scale20-sc,True,5.210191082802548,6.459259259259259,9.559999999999995,2,1488,mesh-overhead-20260523T165749Z,scale20,1488,99.95289830502243
14.886978196,sidecar,idyn-mesh-scale20-sc,True,5.4306472919418765,6.886988847583643,7.549135694545454,3,1488,mesh-overhead-20260523T165749Z,scale20,1488,99.95312550399332
14.886936037,sidecar,idyn-mesh-scale20-sc,True,5.555133079847909,7.192592592592592,7.927407407407409,4,1488,mesh-overhead-20260523T165749Z,scale20,1488,99.95340856585425
14.886406493,sidecar,idyn-mesh-scale20-sc,True,5.5174825174825175,7.2214285714285715,7.9300000000000015,5,1488,mesh-overhead-20260523T165749Z,scale20,1488,99.95696414038531
14.882313277,no-sidecar,idyn-mesh-scale45-nosc,True,1.279324055666004,1.94493041749503,2.202947513684213,1,1488,mesh-overhead-20260523T165749Z,scale45,1488,99.98445620007493
14.88144056,no-sidecar,idyn-mesh-scale45-nosc,True,1.0231454486345906,1.643073144863459,1.6981778289726916,2,1488,mesh-overhead-20260523T165749Z,scale45,1488,99.99031975436658
14.881572069,no-sidecar,idyn-mesh-scale45-nosc,True,1.126328217237308,1.9168831168831169,1.9871546635183,3,1488,mesh-overhead-20260523T165749Z,scale45,1488,99.98943613623136
14.88190394,no-sidecar,idyn-mesh-scale45-nosc,True,1.2933844678811122,1.935378715244487,1.9924448705656759,4,1488,mesh-overhead-20260523T165749Z,scale45,1488,99.98720634128753
14.882353875,no-sidecar,idyn-mesh-scale45-nosc,True,1.3844827586206898,1.9617241379310344,4.176666666666666,5,1488,mesh-overhead-20260523T165749Z,scale45,1488,99.98418344960905
14.886676413,sidecar,idyn-mesh-scale45-sc,True,5.292121212121212,6.5986013986013985,7.059103230588235,1,1488,mesh-overhead-20260523T165749Z,scale45,1488,99.95515175573931
14.886279603,sidecar,idyn-mesh-scale45-sc,True,5.329439252336448,6.641610738255033,7.263340394285713,2,1488,mesh-overhead-20260523T165749Z,scale45,1488,99.95781616920097
14.887029724,sidecar,idyn-mesh-scale45-sc,True,5.855392156862745,7.5525925925925925,7.993481481481481,3,1488,mesh-overhead-20260523T165749Z,scale45,1488,99.95277953943582
14.886124886,sidecar,idyn-mesh-scale45-sc,True,5.446043165467626,6.971331058020478,7.798750000000001,4,1488,mesh-overhead-20260523T165749Z,scale45,1488,99.95885506774326
14.887261718,sidecar,idyn-mesh-scale45-sc,True,5.542319749216301,7.342857142857144,7.950204081632653,5,1488,mesh-overhead-20260523T165749Z,scale45,1488,99.95122193632682
