NAME                           TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)           AGE   SELECTOR
ts-admin-basic-info-service    ClusterIP      10.106.224.161   <none>        18767/TCP         15m   app=ts-admin-basic-info-service
ts-admin-order-service         ClusterIP      10.109.95.183    <none>        16112/TCP         15m   app=ts-admin-order-service
ts-admin-route-service         ClusterIP      10.109.146.164   <none>        16113/TCP         15m   app=ts-admin-route-service
ts-admin-travel-service        ClusterIP      10.100.184.3     <none>        16114/TCP         15m   app=ts-admin-travel-service
ts-admin-user-service          ClusterIP      10.104.53.203    <none>        16115/TCP         15m   app=ts-admin-user-service
ts-assurance-mongo             ClusterIP      10.105.214.39    <none>        27017/TCP         15m   app=ts-assurance-mongo
ts-assurance-service           ClusterIP      10.96.2.75       <none>        18888/TCP         15m   app=ts-assurance-service
ts-auth-mongo                  ClusterIP      10.97.253.97     <none>        27017/TCP         15m   app=ts-auth-mongo
ts-auth-service                LoadBalancer   10.109.188.239   <pending>     12340:30314/TCP   15m   app=ts-auth-service
ts-avatar-service              ClusterIP      10.101.223.178   <none>        17001/TCP         15m   app=ts-avatar-service
ts-basic-service               ClusterIP      10.109.164.21    <none>        15680/TCP         15m   app=ts-basic-service
ts-cancel-service              ClusterIP      10.108.164.251   <none>        18885/TCP         15m   app=ts-cancel-service
ts-config-mongo                ClusterIP      10.100.111.91    <none>        27017/TCP         15m   app=ts-config-mongo
ts-config-service              ClusterIP      10.96.17.176     <none>        15679/TCP         15m   app=ts-config-service
ts-consign-mongo               ClusterIP      10.110.206.177   <none>        27017/TCP         15m   app=ts-consign-mongo
ts-consign-price-mongo         ClusterIP      10.106.22.67     <none>        27017/TCP         15m   app=ts-consign-price-mongo
ts-consign-price-service       ClusterIP      10.98.117.62     <none>        16110/TCP         15m   app=ts-consign-price-service
ts-consign-service             ClusterIP      10.106.7.63      <none>        16111/TCP         15m   app=ts-consign-service
ts-contacts-mongo              ClusterIP      10.106.96.67     <none>        27017/TCP         15m   app=ts-contacts-mongo
ts-contacts-service            ClusterIP      10.106.50.84     <none>        12347/TCP         15m   app=ts-contacts-service
ts-execute-service             ClusterIP      10.96.54.24      <none>        12386/TCP         15m   app=ts-execute-service
ts-food-map-mongo              ClusterIP      10.100.217.96    <none>        27017/TCP         15m   app=ts-food-map-mongo
ts-food-map-service            ClusterIP      10.101.225.250   <none>        18855/TCP         15m   app=ts-food-map-service
ts-food-mongo                  ClusterIP      10.101.42.33     <none>        27017/TCP         15m   app=ts-food-mongo
ts-food-service                ClusterIP      10.110.152.131   <none>        18856/TCP         15m   app=ts-food-service
ts-inside-payment-mongo        ClusterIP      10.99.41.48      <none>        27017/TCP         15m   app=ts-inside-payment-mongo
ts-inside-payment-service      ClusterIP      10.106.36.96     <none>        18673/TCP         15m   app=ts-inside-payment-service
ts-news-service                ClusterIP      10.103.40.86     <none>        12862/TCP         15m   app=ts-news-service
ts-notification-service        ClusterIP      10.107.66.155    <none>        17853/TCP         15m   app=ts-notification-service
ts-order-mongo                 ClusterIP      10.96.247.49     <none>        27017/TCP         15m   app=ts-order-mongo
ts-order-other-mongo           ClusterIP      10.97.247.24     <none>        27017/TCP         15m   app=ts-order-other-mongo
ts-order-other-service         ClusterIP      10.96.19.187     <none>        12032/TCP         15m   app=ts-order-other-service
ts-order-service               ClusterIP      10.101.90.118    <none>        12031/TCP         15m   app=ts-order-service
ts-payment-mongo               ClusterIP      10.101.222.161   <none>        27017/TCP         15m   app=ts-payment-mongo
ts-payment-service             ClusterIP      10.104.172.118   <none>        19001/TCP         15m   app=ts-payment-service
ts-preserve-other-service      ClusterIP      10.110.186.15    <none>        14569/TCP         15m   app=ts-preserve-other-service
ts-preserve-service            ClusterIP      10.100.148.135   <none>        14568/TCP         15m   app=ts-preserve-service
ts-price-mongo                 ClusterIP      10.111.185.71    <none>        27017/TCP         15m   app=ts-price-mongo
ts-price-service               ClusterIP      10.111.246.11    <none>        16579/TCP         15m   app=ts-price-service
ts-rebook-service              ClusterIP      10.109.202.6     <none>        18886/TCP         15m   app=ts-rebook-service
ts-route-mongo                 ClusterIP      10.108.110.187   <none>        27017/TCP         15m   app=ts-route-mongo
ts-route-plan-service          ClusterIP      10.105.128.97    <none>        14578/TCP         15m   app=ts-route-plan-service
ts-route-service               ClusterIP      10.99.243.51     <none>        11178/TCP         15m   app=ts-route-service
ts-seat-service                ClusterIP      10.106.149.12    <none>        18898/TCP         15m   app=ts-seat-service
