NAME                                            CPU(cores)   MEMORY(bytes)   
ts-admin-basic-info-service-6cdd86f457-zgm4r    5m           249Mi           
ts-admin-order-service-7fccfc568c-hdxcn         4m           242Mi           
ts-admin-route-service-57d5546794-sg7zc         5m           246Mi           
ts-admin-travel-service-5b5c6f78f5-s6wrr        6m           252Mi           
ts-admin-user-service-6b5dc89954-64j9b          5m           247Mi           
ts-assurance-mongo-56bdd769f8-wlpr2             10m          153Mi           
ts-assurance-service-7d99bf5496-79pmr           5m           265Mi           
ts-auth-mongo-d6d9d47fb-s64zh                   11m          152Mi           
ts-auth-service-b69dcfb99-f56mp                 3m           45Mi            
ts-avatar-service-7f77c8bf78-hpg5n              4m           173Mi           
ts-basic-service-67858b6f5-gft9x                5m           244Mi           
ts-cancel-service-7d988c7b79-c5qg9              4m           252Mi           
ts-config-mongo-5b55b56c88-wpvxk                11m          151Mi           
ts-config-service-57b747f87f-xxqgc              3m           45Mi            
ts-config-service-7ff76d8cc4-qx2pv              3m           45Mi            
ts-consign-mongo-5c65955974-w4zp8               10m          151Mi           
ts-consign-price-mongo-768596d4bb-dr2xv         11m          151Mi           
ts-consign-price-service-6dc74cc4d9-ckg4j       4m           46Mi            
ts-consign-price-service-79488895bd-7r7kx       3m           44Mi            
ts-consign-service-5566cd6b4d-rbpfk             5m           291Mi           
ts-contacts-mongo-57b576bbdd-xvnrb              9m           151Mi           
ts-contacts-service-5ddc7d595-9zqhz             4m           46Mi            
ts-contacts-service-7c7db6b778-46hmt            4m           44Mi            
ts-execute-service-7ff7d8d798-v9sw7             6m           275Mi           
ts-food-map-mongo-76d66d78b4-qn2gr              12m          151Mi           
ts-food-map-service-6947877d68-cwqtr            3m           44Mi            
ts-food-map-service-956f5f8bf-bhg52             3m           46Mi            
ts-food-mongo-68c4f94d68-fr9q8                  7m           151Mi           
ts-food-service-68f554bd5-hfdnz                 5m           288Mi           
ts-inside-payment-mongo-568cd8d87b-4v4lv        13m          151Mi           
ts-inside-payment-service-5747cb7bd9-fq8ql      2m           46Mi            
ts-news-service-5d6d579768-hrmv5                3m           47Mi            
ts-notification-service-64b495bf64-fjzrx        5m           271Mi           
ts-order-mongo-6f6898b6b8-zcqfz                 11m          151Mi           
ts-order-other-mongo-668c4869d6-zt2vw           8m           151Mi           
ts-order-other-service-6647b795cd-9md2x         3m           44Mi            
ts-order-other-service-ff9c9b599-l4dlx          5m           45Mi            
ts-order-service-5888547557-gcms2               3m           44Mi            
ts-order-service-6d6bc47ccb-c2h8q               4m           45Mi            
ts-payment-mongo-5c67db7bcb-wvr8l               10m          150Mi           
ts-payment-service-659fcd8c74-rqp8n             3m           46Mi            
ts-payment-service-d87d8d979-cpshj              3m           47Mi            
ts-preserve-other-service-6f66b4845b-pzgjq      5m           276Mi           
ts-preserve-service-76767df977-cm8km            5m           275Mi           
ts-price-mongo-5bcb7c7c46-p66jz                 12m          150Mi           
ts-price-service-74545b8b9-kngtv                4m           46Mi            
ts-price-service-fc5d75f8d-nx6kd                4m           44Mi            
ts-rebook-service-6976d57c69-bm9wj              4m           271Mi           
ts-route-mongo-566bdb6bfd-nvj8n                 11m          151Mi           
ts-route-plan-service-79f4796b84-scb8s          4m           275Mi           
ts-route-service-97bf58bdf-f8v94                3m           45Mi            
ts-route-service-dd78594bd-r7fj2                3m           44Mi            
ts-seat-service-7b4476b-7fnck                   5m           249Mi           
ts-security-mongo-f69679588-4f9cb               9m           150Mi           
ts-security-service-66cdb4b858-w9mgt            4m           46Mi            
ts-security-service-6bbdb59f99-w9wr6            2m           44Mi            
ts-station-mongo-857954b588-f2cpz               13m          150Mi           
ts-station-service-74449448b4-d2d4w             4m           45Mi            
ts-station-service-b8c7b4b49-ll2ws              2m           44Mi            
ts-ticket-office-mongo-b4f8f9bf4-ghcd9          10m          151Mi           
ts-ticket-office-service-6c87c7b798-4dfbd       3m           72Mi            
ts-ticketinfo-service-56dc8bd6df-84mjs          5m           248Mi           
ts-train-mongo-65c68b47f6-b8hxx                 10m          152Mi           
ts-train-service-54c6475f47-6hl9n               3m           44Mi            
ts-train-service-84c579bdd6-q2hrw               203m         206Mi           
ts-travel-mongo-5c86d58bd4-gnlvw                6m           150Mi           
ts-travel-plan-service-699c9fc545-dq2c7         5m           247Mi           
ts-travel-service-c985c697c-6nlj2               3m           45Mi            
ts-travel-service-dc74b9ccb-d29dq               3m           45Mi            
ts-travel2-mongo-7b58cf58f6-p4l4n               12m          150Mi           
ts-travel2-service-7465c79c94-bbmhp             4m           45Mi            
ts-travel2-service-bc6994b95-49vgt              4m           44Mi            
ts-ui-dashboard-6bbb7b59cd-jtdhv                3m           49Mi            
ts-user-mongo-68bbfb9d8d-lczgr                  8m           150Mi           
ts-user-service-5f49b4fd8-x7bvf                 204m         123Mi           
ts-user-service-6b76db8785-25pcq                4m           45Mi            
ts-verification-code-service-697b4f78c8-tfj9m   3m           236Mi           
ts-voucher-mysql-75f6ff5d65-h5kwj               4m           508Mi           
ts-voucher-service-6f4486b88c-7d26m             4m           62Mi            
