NAME             CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
emu-worker-1     472m         11%      3876Mi          24%         
emu-worker-10    83m          2%       3435Mi          21%         
emu-worker-11    66m          3%       2521Mi          28%         
emu-worker-12    88m          4%       2367Mi          26%         
emu-worker-13    48m          2%       2124Mi          24%         
emu-worker-14    158m         7%       2737Mi          30%         
emu-worker-15    214m         10%      2477Mi          28%         
emu-worker-16    33m          1%       2507Mi          28%         
emu-worker-17    78m          3%       2732Mi          30%         
emu-worker-18    25m          1%       2102Mi          23%         
emu-worker-19    47m          2%       2131Mi          24%         
emu-worker-2     152m         3%       4384Mi          27%         
emu-worker-20    79m          3%       2593Mi          29%         
emu-worker-21    21m          1%       2054Mi          23%         
emu-worker-22    38m          1%       2123Mi          24%         
emu-worker-23    69m          3%       2612Mi          29%         
emu-worker-24    67m          3%       2983Mi          33%         
emu-worker-25    46m          2%       2465Mi          27%         
emu-worker-26    36m          1%       2122Mi          24%         
emu-worker-27    34m          1%       2058Mi          23%         
emu-worker-28    48m          2%       2060Mi          23%         
emu-worker-29    68m          3%       2127Mi          24%         
emu-worker-3     103m         2%       3701Mi          23%         
emu-worker-30    57m          2%       2585Mi          29%         
emu-worker-31    37m          1%       2119Mi          23%         
emu-worker-32    40m          2%       2129Mi          24%         
emu-worker-33    70m          3%       2464Mi          27%         
emu-worker-34    29m          1%       2044Mi          23%         
emu-worker-35    55m          2%       2118Mi          23%         
emu-worker-36    56m          2%       2128Mi          24%         
emu-worker-37    69m          3%       2550Mi          28%         
emu-worker-38    66m          3%       2531Mi          28%         
emu-worker-39    251m         12%      2604Mi          29%         
emu-worker-4     57m          1%       3369Mi          21%         
emu-worker-40    43m          2%       2685Mi          30%         
emu-worker-41    42m          2%       2123Mi          24%         
emu-worker-42    78m          3%       2765Mi          31%         
emu-worker-43    52m          2%       2632Mi          29%         
emu-worker-44    78m          3%       2540Mi          28%         
emu-worker-45    42m          2%       2572Mi          29%         
emu-worker-5     84m          2%       3158Mi          19%         
emu-worker-6     97m          2%       3482Mi          21%         
emu-worker-7     74m          1%       3887Mi          24%         
emu-worker-8     77m          1%       3749Mi          23%         
emu-worker-9     237m         5%       4158Mi          26%         
k8s-emu-master   349m         2%       9016Mi          14%         
