NAME                           READY   UP-TO-DATE   AVAILABLE   AGE   CONTAINERS                     IMAGES                                          SELECTOR
ts-admin-basic-info-service    1/1     1            1           15m   ts-admin-basic-info-service    codewisdom/ts-admin-basic-info-service:0.0.4    app=ts-admin-basic-info-service
ts-admin-order-service         1/1     1            1           15m   ts-admin-order-service         codewisdom/ts-admin-order-service:0.0.4         app=ts-admin-order-service
ts-admin-route-service         1/1     1            1           15m   ts-admin-route-service         codewisdom/ts-admin-route-service:0.0.4         app=ts-admin-route-service
ts-admin-travel-service        1/1     1            1           15m   ts-admin-travel-service        codewisdom/ts-admin-travel-service:0.0.4        app=ts-admin-travel-service
ts-admin-user-service          1/1     1            1           15m   ts-admin-user-service          codewisdom/ts-admin-user-service:0.0.4          app=ts-admin-user-service
ts-assurance-mongo             1/1     1            1           15m   ts-assurance-mongo             mongo                                           app=ts-assurance-mongo
ts-assurance-service           1/1     1            1           15m   ts-assurance-service           codewisdom/ts-assurance-service:0.0.4           app=ts-assurance-service
ts-auth-mongo                  1/1     1            1           15m   ts-auth-mongo                  mongo                                           app=ts-auth-mongo
ts-auth-service                0/1     1            0           15m   ts-auth-service                codewisdom/ts-auth-service:0.0.4                app=ts-auth-service
ts-avatar-service              1/1     1            1           15m   ts-avatar-service              codewisdom/ts-avatar-service:0.1.0              app=ts-avatar-service
ts-basic-service               1/1     1            1           15m   ts-basic-service               codewisdom/ts-basic-service:0.0.4               app=ts-basic-service
ts-cancel-service              1/1     1            1           15m   ts-cancel-service              codewisdom/ts-cancel-service:0.0.4              app=ts-cancel-service
ts-config-mongo                1/1     1            1           15m   ts-config-mongo                mongo                                           app=ts-config-mongo
ts-config-service              0/1     1            0           15m   ts-config-service              codewisdom/ts-config-service:0.0.4              app=ts-config-service
ts-consign-mongo               1/1     1            1           15m   ts-consign-mongo               mongo                                           app=ts-consign-mongo
ts-consign-price-mongo         1/1     1            1           15m   ts-consign-price-mongo         mongo                                           app=ts-consign-price-mongo
ts-consign-price-service       0/1     1            0           15m   ts-consign-price-service       codewisdom/ts-consign-price-service:0.0.4       app=ts-consign-price-service
ts-consign-service             1/1     1            1           15m   ts-consign-service             codewisdom/ts-consign-service:0.0.4             app=ts-consign-service
ts-contacts-mongo              1/1     1            1           15m   ts-contacts-mongo              mongo                                           app=ts-contacts-mongo
ts-contacts-service            0/1     1            0           15m   ts-contacts-service            codewisdom/ts-contacts-service:0.0.4            app=ts-contacts-service
