NAME                                            READY   STATUS             RESTARTS        AGE   IP                NODE            NOMINATED NODE   READINESS GATES
ts-admin-basic-info-service-6cdd86f457-zgm4r    2/2     Running            0               14m   192.168.0.133     emu-worker-11   <none>           <none>
ts-admin-order-service-7fccfc568c-hdxcn         2/2     Running            0               14m   192.168.111.198   emu-worker-16   <none>           <none>
ts-admin-route-service-57d5546794-sg7zc         2/2     Running            0               14m   192.168.108.134   emu-worker-14   <none>           <none>
ts-admin-travel-service-5b5c6f78f5-s6wrr        2/2     Running            0               14m   192.168.24.134    emu-worker-37   <none>           <none>
ts-admin-user-service-6b5dc89954-64j9b          2/2     Running            0               14m   192.168.138.198   emu-worker-30   <none>           <none>
ts-assurance-mongo-56bdd769f8-wlpr2             2/2     Running            0               15m   192.168.99.199    emu-worker-6    <none>           <none>
ts-assurance-service-7d99bf5496-79pmr           2/2     Running            0               14m   192.168.81.197    emu-worker-43   <none>           <none>
ts-auth-mongo-d6d9d47fb-s64zh                   2/2     Running            0               15m   192.168.237.135   emu-worker-5    <none>           <none>
ts-auth-service-b69dcfb99-f56mp                 1/2     Running            6 (3m ago)      15m   192.168.108.133   emu-worker-14   <none>           <none>
ts-avatar-service-7f77c8bf78-hpg5n              2/2     Running            0               15m   192.168.137.252   emu-worker-2    <none>           <none>
ts-basic-service-67858b6f5-gft9x                2/2     Running            0               14m   192.168.73.6      emu-worker-42   <none>           <none>
ts-cancel-service-7d988c7b79-c5qg9              2/2     Running            0               14m   192.168.55.134    emu-worker-24   <none>           <none>
ts-config-mongo-5b55b56c88-wpvxk                2/2     Running            0               15m   192.168.42.72     emu-worker-3    <none>           <none>
ts-config-service-57b747f87f-xxqgc              1/2     CrashLoopBackOff   5 (2m38s ago)   14m   192.168.71.105    emu-worker-9    <none>           <none>
ts-config-service-7ff76d8cc4-qx2pv              1/2     CrashLoopBackOff   5 (2m5s ago)    15m   192.168.135.84    emu-worker-4    <none>           <none>
ts-consign-mongo-5c65955974-w4zp8               2/2     Running            0               15m   192.168.141.70    emu-worker-17   <none>           <none>
ts-consign-price-mongo-768596d4bb-dr2xv         2/2     Running            0               15m   192.168.75.198    emu-worker-23   <none>           <none>
ts-consign-price-service-6dc74cc4d9-ckg4j       1/2     CrashLoopBackOff   4 (84s ago)     15m   192.168.237.134   emu-worker-5    <none>           <none>
ts-consign-price-service-79488895bd-7r7kx       1/2     CrashLoopBackOff   5 (84s ago)     14m   192.168.137.253   emu-worker-2    <none>           <none>
