source,destination,active_steps,active_step_ratio,mean_weight,max_weight
aggregator,cache,213,0.426000,3.112670,9.001909
cache,aggregator,265,0.530000,4.565307,11.502675
expert-0,aggregator,500,1.000000,51.240731,70.831795
expert-1,aggregator,500,1.000000,34.506393,46.352414
expert-2,aggregator,500,1.000000,13.629731,23.409916
expert-3,aggregator,245,0.490000,4.076209,10.822927
frontend,router,500,1.000000,72.249534,97.783279
frontend,tokenizer,500,1.000000,52.931989,71.983893
router,cache,413,0.826000,11.523132,22.918541
router,expert-0,500,1.000000,57.028502,78.814546
router,expert-1,500,1.000000,38.649693,52.035093
router,expert-2,500,1.000000,15.345467,26.312008
router,expert-3,269,0.538000,5.015768,12.626748
