run_id,metric,unit,burst_correlated,csv_replay,synthetic_distance_random,sources
network-trace-20260521T110037Z,latency_p50_ms,ms,18.591,18.591,14.018,burst_correlated:processed/network_trace_metrics.json#latency_ms.p50; csv_replay:processed/network_trace_metrics.json#latency_ms.p50; synthetic_distance_random:processed/network_trace_metrics.json#latency_ms.p50
network-trace-20260521T110037Z,latency_p95_ms,ms,45.117,45.117,42.828,burst_correlated:processed/network_trace_metrics.json#latency_ms.p95; csv_replay:processed/network_trace_metrics.json#latency_ms.p95; synthetic_distance_random:processed/network_trace_metrics.json#latency_ms.p95
network-trace-20260521T110037Z,latency_p99_ms,ms,63.626,63.626,58.833,burst_correlated:processed/network_trace_metrics.json#latency_ms.p99; csv_replay:processed/network_trace_metrics.json#latency_ms.p99; synthetic_distance_random:processed/network_trace_metrics.json#latency_ms.p99
network-trace-20260521T110037Z,throughput_rps,requests/s,n/a,n/a,n/a,
network-trace-20260521T110037Z,sla_violations,count,n/a,n/a,n/a,
network-trace-20260521T110037Z,sla_violation_rate,ratio,n/a,n/a,n/a,
network-trace-20260521T110037Z,scheduler_decision_time_ms,ms,n/a,n/a,n/a,
network-trace-20260521T110037Z,gda_build_time_ms,ms,n/a,n/a,n/a,
network-trace-20260521T110037Z,ndm_injection_time_ms,ms,n/a,n/a,n/a,
network-trace-20260521T110037Z,cpu_overhead_pct,percent,n/a,n/a,n/a,
network-trace-20260521T110037Z,memory_overhead_mb,MiB,n/a,n/a,n/a,
network-trace-20260521T110037Z,migration_count,count,n/a,n/a,n/a,
network-trace-20260521T110037Z,network_target_vs_measured_error,unitless,n/a,n/a,n/a,
network-trace-20260521T110037Z,placement_cost_reduction_pct,percent,n/a,n/a,n/a,
