policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,78.844257,132.125240,0.596739,0.000000
cga,CGA,0,0.000,replay,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,78.227936,132.125240,0.592074,0.000000
hda,HDA,0,0.000,replay,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,73.181048,132.125240,0.553876,0.000000
policy2,Policy 2,0,0.000,replay,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,74.480677,132.125240,0.563713,0.000000
policy3,Policy 3,0,0.000,replay,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,70.162876,132.125240,0.531033,0.000000
kubernetes-default,K8s default,1,0.100,replay,0.965592,0.003325,13,2.968012,0.000000,0.390359,0.537719,,,83.255087,132.148764,0.630010,0.000000
cga,CGA,1,0.100,replay,0.965592,0.003325,13,2.968012,0.000000,0.390359,0.537719,,,75.208839,132.148764,0.569123,0.000000
hda,HDA,1,0.100,replay,0.965592,0.003325,13,2.968012,0.000000,0.390359,0.537719,,,73.835801,132.148764,0.558732,0.000000
policy2,Policy 2,1,0.100,replay,0.965592,0.003325,13,2.968012,0.000000,0.390359,0.537719,,,73.841244,132.148764,0.558774,0.000000
policy3,Policy 3,1,0.100,replay,0.965592,0.003325,13,2.968012,0.000000,0.390359,0.537719,,,72.760782,132.148764,0.550598,0.000000
kubernetes-default,K8s default,2,0.200,replay,0.957147,0.008248,13,2.968013,0.000000,0.390326,0.537940,,,81.278038,132.172576,0.614939,0.000000
cga,CGA,2,0.200,replay,0.957147,0.008248,13,2.968013,0.000000,0.390326,0.537940,,,75.346441,132.172576,0.570061,0.000000
hda,HDA,2,0.200,replay,0.957147,0.008248,13,2.968013,0.000000,0.390326,0.537940,,,77.422235,132.172576,0.585766,0.000000
policy2,Policy 2,2,0.200,replay,0.957147,0.008248,13,2.968013,0.000000,0.390326,0.537940,,,72.337858,132.172576,0.547299,0.000000
policy3,Policy 3,2,0.200,replay,0.957147,0.008248,13,2.968013,0.000000,0.390326,0.537940,,,72.168681,132.172576,0.546019,0.000000
kubernetes-default,K8s default,3,0.300,replay,0.991305,0.034943,13,2.968013,0.000000,0.390296,0.538154,,,81.506562,132.196675,0.616555,0.000000
cga,CGA,3,0.300,replay,0.991305,0.034943,13,2.968013,0.000000,0.390296,0.538154,,,75.759268,132.196675,0.573080,0.000000
hda,HDA,3,0.300,replay,0.991305,0.034943,13,2.968013,0.000000,0.390296,0.538154,,,74.049343,132.196675,0.560145,0.000000
policy2,Policy 2,3,0.300,replay,0.991305,0.034943,13,2.968013,0.000000,0.390296,0.538154,,,78.439052,132.196675,0.593351,0.000000
policy3,Policy 3,3,0.300,replay,0.991305,0.034943,13,2.968013,0.000000,0.390296,0.538154,,,73.017133,132.196675,0.552337,0.000000
kubernetes-default,K8s default,4,0.400,replay,0.958181,0.032928,13,2.968014,0.000000,0.390268,0.538362,,,79.237981,132.221060,0.599284,0.000000
cga,CGA,4,0.400,replay,0.958181,0.032928,13,2.968014,0.000000,0.390268,0.538362,,,73.224156,132.221060,0.553801,0.000000
hda,HDA,4,0.400,replay,0.958181,0.032928,13,2.968014,0.000000,0.390268,0.538362,,,67.546043,132.221060,0.510857,0.000000
policy2,Policy 2,4,0.400,replay,0.958181,0.032928,13,2.968014,0.000000,0.390268,0.538362,,,76.282938,132.221060,0.576935,0.000000
