step,time_s,request_type,probability,qps,evidence_type
0,0.000,single_expert,0.111111,10.000000,replay
0,0.000,multi_expert_top2,0.162534,14.628071,replay
0,0.000,multi_expert_top4,0.189896,17.090616,replay
0,0.000,cache_hit,0.180393,16.235383,replay
0,0.000,cache_miss,0.138473,12.462545,replay
0,0.000,payload_small,0.083749,7.537455,replay
0,0.000,payload_large,0.041829,3.764617,replay
0,0.000,batch_small,0.032326,2.909384,replay
0,0.000,batch_large,0.059688,5.371929,replay
1,0.100,single_expert,0.111614,10.045239,replay
1,0.100,multi_expert_top2,0.162918,14.662634,replay
1,0.100,multi_expert_top4,0.189981,17.098331,replay
1,0.100,cache_hit,0.180140,16.212641,replay
1,0.100,cache_miss,0.138000,12.419986,replay
1,0.100,payload_small,0.083278,7.494993,replay
1,0.100,payload_large,0.041579,3.742121,replay
1,0.100,batch_small,0.032415,2.917380,replay
1,0.100,batch_large,0.060074,5.406675,replay
2,0.200,single_expert,0.112116,10.090475,replay
2,0.200,multi_expert_top2,0.163300,14.697014,replay
2,0.200,multi_expert_top4,0.190064,17.105767,replay
2,0.200,cache_hit,0.179885,16.189653,replay
2,0.200,cache_miss,0.137526,12.377331,replay
2,0.200,payload_small,0.082807,7.452630,replay
2,0.200,payload_large,0.041332,3.719872,replay
2,0.200,batch_small,0.032507,2.925655,replay
2,0.200,batch_large,0.060462,5.441603,replay
3,0.300,single_expert,0.112619,10.135709,replay
3,0.300,multi_expert_top2,0.163680,14.731208,replay
3,0.300,multi_expert_top4,0.190144,17.112922,replay
3,0.300,cache_hit,0.179627,16.166421,replay
3,0.300,cache_miss,0.137051,12.334583,replay
3,0.300,payload_small,0.082337,7.410368,replay
3,0.300,payload_large,0.041087,3.697870,replay
3,0.300,batch_small,0.032602,2.934209,replay
3,0.300,batch_large,0.060852,5.476710,replay
4,0.400,single_expert,0.113122,10.180937,replay
4,0.400,multi_expert_top2,0.164058,14.765215,replay
4,0.400,multi_expert_top4,0.190220,17.119796,replay
4,0.400,cache_hit,0.179366,16.142945,replay
4,0.400,cache_miss,0.136575,12.291742,replay
4,0.400,payload_small,0.081869,7.368208,replay
4,0.400,payload_large,0.040846,3.676118,replay
4,0.400,batch_small,0.032700,2.943043,replay
4,0.400,batch_large,0.061244,5.511996,replay
5,0.500,single_expert,0.113624,10.226157,replay
5,0.500,multi_expert_top2,0.164434,14.799034,replay
5,0.500,multi_expert_top4,0.190293,17.126389,replay
5,0.500,cache_hit,0.179103,16.119227,replay
5,0.500,cache_miss,0.136098,12.248811,replay
5,0.500,payload_small,0.081402,7.326152,replay
5,0.500,payload_large,0.040607,3.654615,replay
5,0.500,batch_small,0.032802,2.952155,replay
5,0.500,batch_large,0.061638,5.547460,replay
6,0.600,single_expert,0.114126,10.271369,replay
6,0.600,multi_expert_top2,0.164807,14.832663,replay
6,0.600,multi_expert_top4,0.190363,17.132701,replay
6,0.600,cache_hit,0.178836,16.095268,replay
6,0.600,cache_miss,0.135620,12.205792,replay
6,0.600,payload_small,0.080936,7.284201,replay
6,0.600,payload_large,0.040371,3.633363,replay
6,0.600,batch_small,0.032906,2.961545,replay
6,0.600,batch_large,0.062034,5.583099,replay
7,0.700,single_expert,0.114629,10.316570,replay
7,0.700,multi_expert_top2,0.165179,14.866102,replay
7,0.700,multi_expert_top4,0.190430,17.138731,replay
7,0.700,cache_hit,0.178567,16.071068,replay
7,0.700,cache_miss,0.135141,12.162685,replay
7,0.700,payload_small,0.080471,7.242357,replay
7,0.700,payload_large,0.040137,3.612362,replay
7,0.700,batch_small,0.033013,2.971213,replay
7,0.700,batch_large,0.062432,5.618912,replay
8,0.800,single_expert,0.115131,10.361759,replay
8,0.800,multi_expert_top2,0.165548,14.899349,replay
8,0.800,multi_expert_top4,0.190494,17.144479,replay
8,0.800,cache_hit,0.178296,16.046628,replay
8,0.800,cache_miss,0.134661,12.119492,replay
8,0.800,payload_small,0.080007,7.200623,replay
8,0.800,payload_large,0.039907,3.591613,replay
8,0.800,batch_small,0.033124,2.981159,replay
8,0.800,batch_large,0.062832,5.654898,replay
9,0.900,single_expert,0.115633,10.406933,replay
9,0.900,multi_expert_top2,0.165916,14.932402,replay
9,0.900,multi_expert_top4,0.190555,17.149945,replay
9,0.900,cache_hit,0.178022,16.021949,replay
9,0.900,cache_miss,0.134180,12.076216,replay
9,0.900,payload_small,0.079544,7.158999,replay
9,0.900,payload_large,0.039679,3.571117,replay
9,0.900,batch_small,0.033238,2.991381,replay
9,0.900,batch_large,0.063234,5.691056,replay
10,1.000,single_expert,0.116134,10.452092,replay
10,1.000,multi_expert_top2,0.166281,14.965261,replay
10,1.000,multi_expert_top4,0.190613,17.155129,replay
10,1.000,cache_hit,0.177745,15.997033,replay
10,1.000,cache_miss,0.133698,12.032858,replay
10,1.000,payload_small,0.079083,7.117487,replay
10,1.000,payload_large,0.039454,3.550875,replay
10,1.000,batch_small,0.033354,3.001881,replay
10,1.000,batch_large,0.063638,5.727384,replay
11,1.100,single_expert,0.116636,10.497232,replay
11,1.100,multi_expert_top2,0.166644,14.997923,replay
11,1.100,multi_expert_top4,0.190667,17.160030,replay
11,1.100,cache_hit,0.177465,15.971880,replay
11,1.100,cache_miss,0.133216,11.989420,replay
11,1.100,payload_small,0.078623,7.076089,replay
11,1.100,payload_large,0.039232,3.530888,replay
11,1.100,batch_small,0.033474,3.012656,replay
11,1.100,batch_large,0.064043,5.763881,replay
12,1.200,single_expert,0.117137,10.542353,replay
12,1.200,multi_expert_top2,0.167004,15.030388,replay
12,1.200,multi_expert_top4,0.190718,17.164649,replay
12,1.200,cache_hit,0.177183,15.946491,replay
12,1.200,cache_miss,0.132732,11.945904,replay
12,1.200,payload_small,0.078165,7.034806,replay
12,1.200,payload_large,0.039013,3.511156,replay
12,1.200,batch_small,0.033597,3.023708,replay
12,1.200,batch_large,0.064450,5.800545,replay
13,1.300,single_expert,0.117638,10.587452,replay
13,1.300,multi_expert_top2,0.167363,15.062655,replay
13,1.300,multi_expert_top4,0.190767,17.168985,replay
13,1.300,cache_hit,0.176899,15.920867,replay
13,1.300,cache_miss,0.132248,11.902310,replay
13,1.300,payload_small,0.077707,6.993641,replay
13,1.300,payload_large,0.038796,3.491680,replay
13,1.300,batch_small,0.033723,3.035035,replay
13,1.300,batch_large,0.064860,5.837374,replay
14,1.400,single_expert,0.118139,10.632529,replay
14,1.400,multi_expert_top2,0.167719,15.094722,replay
14,1.400,multi_expert_top4,0.190812,17.173038,replay
14,1.400,cache_hit,0.176611,15.895010,replay
14,1.400,cache_miss,0.131763,11.858641,replay
14,1.400,payload_small,0.077251,6.952594,replay
14,1.400,payload_large,0.038583,3.472461,replay
14,1.400,batch_small,0.033852,3.046637,replay
14,1.400,batch_large,0.065271,5.874368,replay
15,1.500,single_expert,0.118640,10.677580,replay
15,1.500,multi_expert_top2,0.168073,15.126588,replay
15,1.500,multi_expert_top4,0.190853,17.176808,replay
15,1.500,cache_hit,0.176321,15.868920,replay
15,1.500,cache_miss,0.131277,11.814899,replay
15,1.500,payload_small,0.076796,6.911667,replay
15,1.500,payload_large,0.038372,3.453500,replay
15,1.500,batch_small,0.033983,3.058513,replay
15,1.500,batch_large,0.065684,5.911525,replay
16,1.600,single_expert,0.119140,10.722604,replay
16,1.600,multi_expert_top2,0.168425,15.158251,replay
16,1.600,multi_expert_top4,0.190892,17.180294,replay
16,1.600,cache_hit,0.176029,15.842598,replay
16,1.600,cache_miss,0.130790,11.771086,replay
16,1.600,payload_small,0.076343,6.870862,replay
16,1.600,payload_large,0.038164,3.434797,replay
16,1.600,batch_small,0.034118,3.070664,replay
16,1.600,batch_large,0.066098,5.948843,replay
17,1.700,single_expert,0.119640,10.767600,replay
17,1.700,multi_expert_top2,0.168775,15.189710,replay
17,1.700,multi_expert_top4,0.190928,17.183497,replay
17,1.700,cache_hit,0.175734,15.816046,replay
17,1.700,cache_miss,0.130302,11.727202,replay
17,1.700,payload_small,0.075891,6.830181,replay
17,1.700,payload_large,0.037959,3.416354,replay
17,1.700,batch_small,0.034257,3.083087,replay
17,1.700,batch_large,0.066515,5.986322,replay
18,1.800,single_expert,0.120140,10.812566,replay
18,1.800,multi_expert_top2,0.169122,15.220965,replay
18,1.800,multi_expert_top4,0.190960,17.186417,replay
18,1.800,cache_hit,0.175436,15.789264,replay
18,1.800,cache_miss,0.129814,11.683250,replay
18,1.800,payload_small,0.075440,6.789625,replay
18,1.800,payload_large,0.037757,3.398170,replay
18,1.800,batch_small,0.034398,3.095785,replay
18,1.800,batch_large,0.066933,6.023958,replay
19,1.900,single_expert,0.120639,10.857500,replay
19,1.900,multi_expert_top2,0.169467,15.252014,replay
19,1.900,multi_expert_top4,0.190989,17.189052,replay
19,1.900,cache_hit,0.175136,15.762253,replay
19,1.900,cache_miss,0.129325,11.639232,replay
19,1.900,payload_small,0.074991,6.749196,replay
19,1.900,payload_large,0.037558,3.380247,replay
19,1.900,batch_small,0.034542,3.108754,replay
19,1.900,batch_large,0.067353,6.061752,replay
20,2.000,single_expert,0.121138,10.902399,replay
20,2.000,multi_expert_top2,0.169810,15.282855,replay
20,2.000,multi_expert_top4,0.191016,17.191404,replay
20,2.000,cache_hit,0.174834,15.735015,replay
20,2.000,cache_miss,0.128835,11.595149,replay
20,2.000,payload_small,0.074543,6.708895,replay
20,2.000,payload_large,0.037362,3.362585,replay
20,2.000,batch_small,0.034689,3.121996,replay
20,2.000,batch_large,0.067774,6.099701,replay
21,2.100,single_expert,0.121636,10.947263,replay
21,2.100,multi_expert_top2,0.170150,15.313488,replay
21,2.100,multi_expert_top4,0.191039,17.193472,replay
21,2.100,cache_hit,0.174528,15.707551,replay
21,2.100,cache_miss,0.128344,11.551003,replay
21,2.100,payload_small,0.074097,6.668724,replay
21,2.100,payload_large,0.037169,3.345186,replay
21,2.100,batch_small,0.034839,3.135509,replay
21,2.100,batch_large,0.068198,6.137804,replay
22,2.200,single_expert,0.122134,10.992090,replay
22,2.200,multi_expert_top2,0.170488,15.343911,replay
22,2.200,multi_expert_top4,0.191058,17.195256,replay
22,2.200,cache_hit,0.174221,15.679861,replay
22,2.200,cache_miss,0.127853,11.506796,replay
22,2.200,payload_small,0.073652,6.628684,replay
22,2.200,payload_large,0.036978,3.328049,replay
22,2.200,batch_small,0.034992,3.149293,replay
22,2.200,batch_large,0.068623,6.176060,replay
23,2.300,single_expert,0.122632,11.036878,replay
23,2.300,multi_expert_top2,0.170824,15.374123,replay
23,2.300,multi_expert_top4,0.191075,17.196756,replay
23,2.300,cache_hit,0.173911,15.651947,replay
23,2.300,cache_miss,0.127361,11.462529,replay
23,2.300,payload_small,0.073209,6.588778,replay
23,2.300,payload_large,0.036791,3.311175,replay
23,2.300,batch_small,0.035148,3.163348,replay
23,2.300,batch_large,0.069050,6.214466,replay
