step,time_s,p_single_expert,p_multi_expert_top2,p_multi_expert_top4,p_cache_hit,p_cache_miss,p_payload_small,p_payload_large,p_batch_small,p_batch_large,qps_single_expert,qps_multi_expert_top2,qps_multi_expert_top4,qps_cache_hit,qps_cache_miss,qps_payload_small,qps_payload_large,qps_batch_small,qps_batch_large,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.111111,0.162534,0.189896,0.180393,0.138473,0.083749,0.041829,0.032326,0.059688,10.000000,14.628071,17.090616,16.235383,12.462545,7.537455,3.764617,2.909384,5.371929,0.969300,0.000000,0.000000,1.000000,0.00000000,2.968011,0.000000,13,0.390394,0.537493,,,78.844257,132.125240,0.596739,0.000000
1,0.100,0.111614,0.162918,0.189981,0.180140,0.138000,0.083278,0.041579,0.032415,0.060074,10.045239,14.662634,17.098331,16.212641,12.419986,7.494993,3.742121,2.917380,5.406675,0.965592,0.000000,0.003325,1.000000,0.03325073,2.968012,0.000000,13,0.390359,0.537719,,,83.255087,132.148764,0.630010,0.000000
2,0.200,0.112116,0.163300,0.190064,0.179885,0.137526,0.082807,0.041332,0.032507,0.060462,10.090475,14.697014,17.105767,16.189653,12.377331,7.452630,3.719872,2.925655,5.441603,0.957147,0.000000,0.008248,1.000000,0.08247638,2.968013,0.000000,13,0.390326,0.537940,,,81.278038,132.172576,0.614939,0.000000
3,0.300,0.112619,0.163680,0.190144,0.179627,0.137051,0.082337,0.041087,0.032602,0.060852,10.135709,14.731208,17.112922,16.166421,12.334583,7.410368,3.697870,2.934209,5.476710,0.991305,0.000000,0.034943,1.000000,0.34943393,2.968013,0.000000,13,0.390296,0.538154,,,81.506562,132.196675,0.616555,0.000000
4,0.400,0.113122,0.164058,0.190220,0.179366,0.136575,0.081869,0.040846,0.032700,0.061244,10.180937,14.765215,17.119796,16.142945,12.291742,7.368208,3.676118,2.943043,5.511996,0.958181,0.000000,0.032928,1.000000,0.32928204,2.968014,0.000000,13,0.390268,0.538362,,,79.237981,132.221060,0.599284,0.000000
5,0.500,0.113624,0.164434,0.190293,0.179103,0.136098,0.081402,0.040607,0.032802,0.061638,10.226157,14.799034,17.126389,16.119227,12.248811,7.326152,3.654615,2.952155,5.547460,0.930931,0.000000,0.027950,1.000000,0.27949895,2.968015,0.000000,13,0.390242,0.538565,,,83.046689,132.245730,0.627973,0.000000
6,0.600,0.114126,0.164807,0.190363,0.178836,0.135620,0.080936,0.040371,0.032906,0.062034,10.271369,14.832663,17.132701,16.095268,12.205792,7.284201,3.633363,2.961545,5.583099,0.981716,0.000000,0.052209,1.000000,0.52209143,2.968015,0.000000,13,0.390218,0.538761,,,83.249888,132.270685,0.629390,0.000000
7,0.700,0.114629,0.165179,0.190430,0.178567,0.135141,0.080471,0.040137,0.033013,0.062432,10.316570,14.866102,17.138731,16.071068,12.162685,7.242357,3.612362,2.971213,5.618912,0.923658,0.000000,0.058665,1.000000,0.58664585,2.968016,0.000000,13,0.390197,0.538951,,,85.064672,132.295923,0.642988,0.000000
8,0.800,0.115131,0.165548,0.190494,0.178296,0.134661,0.080007,0.039907,0.033124,0.062832,10.361759,14.899349,17.144479,16.046628,12.119492,7.200623,3.591613,2.981159,5.654898,1.019517,0.000000,0.094481,1.000000,0.94481427,2.968017,0.000000,13,0.390178,0.539136,,,85.208286,132.321443,0.643949,0.000000
9,0.900,0.115633,0.165916,0.190555,0.178022,0.134180,0.079544,0.039679,0.033238,0.063234,10.406933,14.932402,17.149945,16.021949,12.076216,7.158999,3.571117,2.991381,5.691056,0.991529,0.000000,0.026961,1.000000,0.26961073,2.968018,0.000000,13,0.390161,0.539314,,,81.623483,132.347244,0.616737,0.000000
10,1.000,0.116134,0.166281,0.190613,0.177745,0.133698,0.079083,0.039454,0.033354,0.063638,10.452092,14.965261,17.155129,15.997033,12.032858,7.117487,3.550875,3.001881,5.727384,0.927246,0.000000,0.064358,1.000000,0.64358387,2.968018,0.000000,13,0.390146,0.539485,,,85.399060,132.373325,0.645138,0.000000
11,1.100,0.116636,0.166644,0.190667,0.177465,0.133216,0.078623,0.039232,0.033474,0.064043,10.497232,14.997923,17.160030,15.971880,11.989420,7.076089,3.530888,3.012656,5.763881,0.942494,0.000000,0.016676,1.000000,0.16675900,2.968019,0.000000,13,0.390134,0.539651,,,81.664668,132.399686,0.616804,0.000000
12,1.200,0.117137,0.167004,0.190718,0.177183,0.132732,0.078165,0.039013,0.033597,0.064450,10.542353,15.030388,17.164649,15.946491,11.945904,7.034806,3.511156,3.023708,5.800545,1.020756,0.000000,0.077137,1.000000,0.77137132,2.968019,0.000000,13,0.390124,0.539810,,,89.587148,132.426324,0.676506,0.000000
13,1.300,0.117638,0.167363,0.190767,0.176899,0.132248,0.077707,0.038796,0.033723,0.064860,10.587452,15.062655,17.168985,15.920867,11.902310,6.993641,3.491680,3.035035,5.837374,1.003629,0.000000,0.016281,1.000000,0.16280555,2.968020,0.000000,13,0.390116,0.539963,,,77.501896,132.453240,0.585126,0.000000
14,1.400,0.118139,0.167719,0.190812,0.176611,0.131763,0.077251,0.038583,0.033852,0.065271,10.632529,15.094722,17.173038,15.895010,11.858641,6.952594,3.472461,3.046637,5.874368,0.987955,0.000000,0.015119,1.000000,0.15118764,2.968020,0.000000,13,0.390111,0.540110,,,79.771299,132.480432,0.602136,0.000000
15,1.500,0.118640,0.168073,0.190853,0.176321,0.131277,0.076796,0.038372,0.033983,0.065684,10.677580,15.126588,17.176808,15.868920,11.814899,6.911667,3.453500,3.058513,5.911525,0.967521,0.000000,0.020186,1.000000,0.20186382,2.968021,0.000000,13,0.390107,0.540250,,,77.811279,132.507898,0.587220,0.000000
16,1.600,0.119140,0.168425,0.190892,0.176029,0.130790,0.076343,0.038164,0.034118,0.066098,10.722604,15.158251,17.180294,15.842598,11.771086,6.870862,3.434797,3.070664,5.948843,1.009682,0.000000,0.042243,1.000000,0.42242758,2.968021,0.000000,13,0.390106,0.540384,,,85.611601,132.535639,0.645952,0.000000
