source,destination,active_steps,active_step_ratio,mean_weight,max_weight
cartservice,redis-cart,500,1.000000,32.648316,67.954135
checkoutservice,cartservice,85,0.170000,9.938248,68.016650
checkoutservice,currencyservice,85,0.170000,4.969124,34.008325
checkoutservice,emailservice,85,0.170000,4.969124,34.008325
checkoutservice,paymentservice,85,0.170000,8.695967,59.514569
checkoutservice,productcatalogservice,85,0.170000,4.969124,34.008325
checkoutservice,shippingservice,85,0.170000,7.453686,51.012488
frontend,adservice,342,0.684000,10.992753,33.398848
frontend,cartservice,500,1.000000,25.620497,71.162434
frontend,checkoutservice,85,0.170000,12.422810,85.020813
frontend,currencyservice,500,1.000000,40.923723,108.636443
frontend,productcatalogservice,500,1.000000,39.022289,96.691547
frontend,recommendationservice,500,1.000000,15.878292,56.659277
recommendationservice,productcatalogservice,500,1.000000,21.171055,75.545702
