benchmark,scale,replica_level,workload_mode,policy,evidence_type,steps,mean_latency_ms,p95_latency_ms,mean_sla_violation_ratio,mean_throughput_rps,mean_active_edge_count,mean_gda_total_time_ms,pod_node_occupancy_ratio
online-boutique,scale45,replica5,step,cga,replay,500,78.150557,118.375406,0.000000,120.000000,7.874000,0.010549,
online-boutique,scale45,replica5,step,hda,replay,500,74.909339,113.029893,0.000000,120.000000,7.874000,0.010549,
online-boutique,scale45,replica5,step,kubernetes-default,replay,500,83.246460,125.000722,0.000000,120.000000,7.874000,0.010549,
