benchmark,run_id,namespace,scale,replica_level,replica_config,workload_mode,repeat,policy,policy_display_name,step,time_s,evidence_type,request_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count,latency_ms,p50_ms,p95_ms,p99_ms,throughput_rps,error_rate,sla_ms,sla_pressure,sla_violation_ratio,worker_nodes_selected,actual_app_pods,ready_app_pods,non_empty_worker_nodes,pod_node_occupancy_ratio,pod_restarts,total_pods,cluster_cpu_utilization,cluster_memory_utilization,top_node_cpu_utilization
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,policy3,Policy 3,2,0.200,replay,mixed,0.959227,0.007553,8,1.657033,0.000000,0.403425,0.094591,,,0.000000,0.014648,0.014648,8,8,0,55.986090,55.986090,55.986090,55.986090,90.000000,0.000000,108.815803,0.514503,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,kubernetes-default,K8s default,3,0.300,replay,mixed,0.994400,0.050442,9,1.666973,0.000000,0.449517,0.293768,,,0.000000,0.014467,0.014467,8,9,0,64.382794,64.382794,64.382794,64.382794,90.000000,0.000000,109.056125,0.590364,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,cga,CGA,3,0.300,replay,mixed,0.994400,0.050442,9,1.666973,0.000000,0.449517,0.293768,,,0.000000,0.014467,0.014467,8,9,0,59.662926,59.662926,59.662926,59.662926,90.000000,0.000000,109.056125,0.547085,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,hda,HDA,3,0.300,replay,mixed,0.994400,0.050442,9,1.666973,0.000000,0.449517,0.293768,,,0.000000,0.014467,0.014467,8,9,0,58.637951,58.637951,58.637951,58.637951,90.000000,0.000000,109.056125,0.537686,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,policy2,Policy 2,3,0.300,replay,mixed,0.994400,0.050442,9,1.666973,0.000000,0.449517,0.293768,,,0.000000,0.014467,0.014467,8,9,0,62.685185,62.685185,62.685185,62.685185,90.000000,0.000000,109.056125,0.574797,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,policy3,Policy 3,3,0.300,replay,mixed,0.994400,0.050442,9,1.666973,0.000000,0.449517,0.293768,,,0.000000,0.014467,0.014467,8,9,0,57.434504,57.434504,57.434504,57.434504,90.000000,0.000000,109.056125,0.526651,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,kubernetes-default,K8s default,4,0.400,replay,mixed,0.962272,0.030430,9,1.676749,0.000000,0.447952,0.294240,,,0.000000,0.024156,0.024156,8,9,0,61.754338,61.754338,61.754338,61.754338,90.000000,0.000000,109.295838,0.565020,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,cga,CGA,4,0.400,replay,mixed,0.962272,0.030430,9,1.676749,0.000000,0.447952,0.294240,,,0.000000,0.024156,0.024156,8,9,0,56.789531,56.789531,56.789531,56.789531,90.000000,0.000000,109.295838,0.519595,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,hda,HDA,4,0.400,replay,mixed,0.962272,0.030430,9,1.676749,0.000000,0.447952,0.294240,,,0.000000,0.024156,0.024156,8,9,0,51.810764,51.810764,51.810764,51.810764,90.000000,0.000000,109.295838,0.474042,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,policy2,Policy 2,4,0.400,replay,mixed,0.962272,0.030430,9,1.676749,0.000000,0.447952,0.294240,,,0.000000,0.024156,0.024156,8,9,0,60.197986,60.197986,60.197986,60.197986,90.000000,0.000000,109.295838,0.550780,0.000000,45,51,51,45,1.000000,,51,,,
