source,destination,active_steps,active_step_ratio,mean_weight,max_weight
aggregator,cache,261,0.522000,5.794133,17.289367
expert-0,aggregator,500,1.000000,63.021082,81.617636
expert-1,aggregator,500,1.000000,36.272056,74.926703
expert-2,aggregator,497,0.994000,25.126983,67.196170
frontend,router,500,1.000000,84.235029,119.823259
frontend,tokenizer,500,1.000000,62.848133,94.104371
router,cache,468,0.936000,6.856612,9.963938
router,expert-0,500,1.000000,69.966227,90.772071
router,expert-1,500,1.000000,40.306360,82.657236
router,expert-2,500,1.000000,27.759249,74.034719
