metric,value
mean_edge_jaccard_distance,0.00378535
mean_weighted_edge_distance,0.04341931
mean_hot_edge_rank_correlation,0.99977314
mean_graph_change_rate_per_s,0.43419300
mean_request_mix_entropy,2.18119907
mean_top3_hotspot_churn,0.00100200
mean_active_edge_count,9.45200000
mean_traffic_stress_gini,0.30640905
mean_traffic_stress_skew,-0.00868380
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01601376
mean_gda_total_time_ms,0.01601376
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.17878953
traffic_stress_latency_correlation,-0.27756846
kubernetes-default_mean_latency_ms,91.86551840
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,2.18119907
cga_mean_latency_ms,86.19858037
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,2.18119907
hda_mean_latency_ms,82.45485984
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,2.18119907
policy2_mean_latency_ms,84.28514598
policy2_mean_sla_violation_ratio,0.00000000
policy2_mean_request_mix_entropy,2.18119907
policy3_mean_latency_ms,83.30481870
policy3_mean_sla_violation_ratio,0.00000000
policy3_mean_request_mix_entropy,2.18119907
