policy,policy_display_name,evidence_type,steps,mean_latency_ms,mean_sla_violation_ratio,max_sla_violation_ratio,mean_request_mix_entropy,mean_active_edge_count,migration_count_available,policy_decision_time_available
kubernetes-default,K8s default,replay,500,91.865518,0.000000,0.000000,2.181199,9.452000,false,false
cga,CGA,replay,500,86.198580,0.000000,0.000000,2.181199,9.452000,false,false
hda,HDA,replay,500,82.454860,0.000000,0.000000,2.181199,9.452000,false,false
policy2,Policy 2,replay,500,84.285146,0.000000,0.000000,2.181199,9.452000,false,false
policy3,Policy 3,replay,500,83.304819,0.000000,0.000000,2.181199,9.452000,false,false
