run_id,metric,unit,workload-mixer,sources
continuous-callgraph-20260521T111457Z,latency_p50_ms,ms,106.89,workload-mixer:raw/request_mix_timeseries.csv#latency_ms
continuous-callgraph-20260521T111457Z,latency_p95_ms,ms,120.40,workload-mixer:raw/request_mix_timeseries.csv#latency_ms
continuous-callgraph-20260521T111457Z,latency_p99_ms,ms,122.83,workload-mixer:raw/request_mix_timeseries.csv#latency_ms
continuous-callgraph-20260521T111457Z,throughput_rps,requests/s,90.000,workload-mixer:raw/request_mix_timeseries.csv#qps_*
continuous-callgraph-20260521T111457Z,sla_violations,count,n/a,
continuous-callgraph-20260521T111457Z,sla_violation_rate,ratio,0.0000,workload-mixer:raw/request_mix_timeseries.csv#sla_violation_ratio
continuous-callgraph-20260521T111457Z,scheduler_decision_time_ms,ms,n/a,
continuous-callgraph-20260521T111457Z,gda_build_time_ms,ms,n/a,
continuous-callgraph-20260521T111457Z,ndm_injection_time_ms,ms,n/a,
continuous-callgraph-20260521T111457Z,cpu_overhead_pct,percent,n/a,
continuous-callgraph-20260521T111457Z,memory_overhead_mb,MiB,n/a,
continuous-callgraph-20260521T111457Z,migration_count,count,n/a,
continuous-callgraph-20260521T111457Z,network_target_vs_measured_error,unitless,n/a,
continuous-callgraph-20260521T111457Z,placement_cost_reduction_pct,percent,n/a,
