step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.700000,0.200000,0.100000,63.000000,18.000000,9.000000,0.912956,0.000000,0.000000,1.000000,0.00000000,1.156780,0.000000,14,0.432308,1.218858,,,96.057304,129.000000,0.744630,0.000000
1,5.000,0.695292,0.202518,0.102190,62.576300,18.226606,9.197093,0.928183,0.000000,0.016970,1.000000,0.00339402,1.167398,0.000000,14,0.427779,1.218467,,,98.204206,129.122613,0.760550,0.000000
2,10.000,0.690615,0.205019,0.104366,62.155308,18.451735,9.392957,0.961297,0.000000,0.034997,1.000000,0.00699947,1.177792,0.000000,14,0.423284,1.217994,,,102.477897,129.244433,0.792900,0.000000
3,15.000,0.685967,0.207504,0.106529,61.737045,18.675344,9.587611,0.995320,0.066667,0.051317,1.000000,0.01026347,1.187965,0.000000,15,0.433665,1.296237,,,104.140193,129.365443,0.805008,0.000000
4,20.000,0.681350,0.209971,0.108679,61.321531,18.897395,9.781074,0.945569,0.000000,0.049133,1.000000,0.00982663,1.197922,0.000000,15,0.429146,1.294773,,,102.578623,129.485628,0.792201,0.000000
5,25.000,0.676764,0.212421,0.110815,60.908784,19.117848,9.973368,0.947550,0.000000,0.008692,1.000000,0.00173839,1.207667,0.000000,15,0.424664,1.293198,,,103.539742,129.604973,0.798887,0.000000
6,30.000,0.672209,0.214852,0.112939,60.498823,19.336665,10.164512,0.963928,0.000000,0.017856,1.000000,0.00357130,1.217205,0.000000,15,0.420221,1.291510,,,100.954546,129.723464,0.778229,0.000000
7,35.000,0.667685,0.217265,0.115050,60.091662,19.553810,10.354528,1.020780,0.000000,0.056519,0.989247,0.01130380,1.226538,0.000000,15,0.415818,1.289704,,,103.945531,129.841086,0.800560,0.000000
8,40.000,0.663192,0.219658,0.117149,59.687315,19.769249,10.543436,0.963861,0.000000,0.054943,1.000000,0.01098864,1.235672,0.000000,15,0.411506,1.287778,,,104.772999,129.957826,0.806208,0.000000
9,45.000,0.658731,0.222033,0.119236,59.285797,19.982946,10.731257,1.027110,0.000000,0.062382,1.000000,0.01247650,1.244610,0.000000,15,0.407231,1.285728,,,108.239455,130.073671,0.832140,0.000000
10,50.000,0.654301,0.224387,0.121311,58.887117,20.194869,10.918014,1.023005,0.000000,0.009561,1.000000,0.00191212,1.253356,0.000000,15,0.402994,1.283551,,,102.995772,130.188610,0.791127,0.000000
11,55.000,0.649903,0.226722,0.123375,58.491287,20.404986,11.103727,0.974005,0.000000,0.047100,1.000000,0.00942004,1.261913,0.000000,15,0.398794,1.281243,,,103.714414,130.302630,0.795950,0.000000
12,60.000,0.645537,0.229036,0.125427,58.098314,20.613266,11.288420,1.017284,0.000000,0.043337,1.000000,0.00866734,1.270286,0.000000,15,0.394632,1.278802,,,102.260871,130.415721,0.784115,0.000000
13,65.000,0.641202,0.231330,0.127468,57.708207,20.819679,11.472113,1.011673,0.000000,0.009479,1.000000,0.00189589,1.278477,0.000000,15,0.390507,1.276223,,,102.577073,130.527870,0.785863,0.000000
14,70.000,0.636900,0.233602,0.129498,57.320972,21.024197,11.654831,1.011140,0.000000,0.008606,1.000000,0.00172122,1.286491,0.000000,15,0.386419,1.273503,,,104.802041,130.639069,0.802226,0.000000
15,75.000,0.632629,0.235853,0.131518,56.936614,21.226791,11.836595,1.072306,0.000000,0.057794,1.000000,0.01155885,1.294331,0.000000,15,0.382368,1.270639,,,105.372714,130.749307,0.805914,0.000000
16,80.000,0.628390,0.238083,0.133527,56.555137,21.427435,12.017428,0.984571,0.000000,0.081095,1.000000,0.01621890,1.302000,0.000000,15,0.378354,1.267627,,,107.549372,130.858574,0.821875,0.000000
17,85.000,0.624184,0.240290,0.135526,56.176544,21.626102,12.197354,0.979682,0.000000,0.008929,1.000000,0.00178584,1.309501,0.000000,15,0.374376,1.264464,,,102.035257,130.966862,0.779092,0.000000
18,90.000,0.620009,0.242475,0.137515,55.800837,21.822769,12.376394,1.073806,0.000000,0.088355,1.000000,0.01767103,1.316839,0.000000,15,0.370435,1.261146,,,110.856148,131.074163,0.845751,0.000000
19,95.000,0.615867,0.244638,0.139495,55.428016,22.017410,12.554574,1.022094,0.000000,0.047437,1.000000,0.00948733,1.324015,0.000000,15,0.366530,1.257669,,,105.337505,131.180468,0.802997,0.000000
20,100.000,0.611756,0.246778,0.141466,55.058082,22.210003,12.731915,1.003414,0.000000,0.017543,1.000000,0.00350868,1.331034,0.000000,15,0.362661,1.254031,,,106.655288,131.285770,0.812390,0.000000
