metric,value
mean_edge_jaccard_distance,0.00761909
mean_weighted_edge_distance,0.25912371
mean_hot_edge_rank_correlation,0.73453820
mean_graph_change_rate_per_s,0.12956190
latency_sla_violation_correlation,0.60073926
latency_sla_pressure_correlation,0.93230349
traffic_stress_latency_correlation,0.12005219
kubernetes_mean_latency_ms,108.63115258
kubernetes_mean_sla_violation_ratio,0.00517244
policy1_mean_latency_ms,102.29648742
policy1_mean_sla_violation_ratio,0.00000000
policy4_mean_latency_ms,97.87316311
policy4_mean_sla_violation_ratio,0.00000000
