policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,11,55.000,replay/model/control-plane,0.947219,0.050803,14,1.181291,0.000000,0.451198,1.237382,,,99.158964,127.500000,0.777717,0.000000
cga,CGA,11,55.000,replay/model/control-plane,0.947219,0.050803,14,1.181291,0.000000,0.451198,1.237382,,,94.129632,127.500000,0.738272,0.000000
hda,HDA,11,55.000,replay/model/control-plane,0.947219,0.050803,14,1.181291,0.000000,0.451198,1.237382,,,89.568466,127.500000,0.702498,0.000000
kubernetes-default,K8s default,12,60.000,replay/model/control-plane,0.988963,0.042210,14,1.181291,0.000000,0.451198,1.237382,,,97.219985,127.500000,0.762510,0.000000
cga,CGA,12,60.000,replay/model/control-plane,0.988963,0.042210,14,1.181291,0.000000,0.451198,1.237382,,,93.047274,127.500000,0.729783,0.000000
hda,HDA,12,60.000,replay/model/control-plane,0.988963,0.042210,14,1.181291,0.000000,0.451198,1.237382,,,89.565469,127.500000,0.702474,0.000000
kubernetes-default,K8s default,13,65.000,replay/model/control-plane,0.981982,0.007059,14,1.181291,0.000000,0.451198,1.237382,,,97.287399,127.500000,0.763038,0.000000
cga,CGA,13,65.000,replay/model/control-plane,0.981982,0.007059,14,1.181291,0.000000,0.451198,1.237382,,,90.770456,127.500000,0.711925,0.000000
hda,HDA,13,65.000,replay/model/control-plane,0.981982,0.007059,14,1.181291,0.000000,0.451198,1.237382,,,85.655173,127.500000,0.671805,0.000000
kubernetes-default,K8s default,14,70.000,replay/model/control-plane,0.980248,0.001766,14,1.181291,0.000000,0.451198,1.237382,,,99.126209,127.500000,0.777460,0.000000
cga,CGA,14,70.000,replay/model/control-plane,0.980248,0.001766,14,1.181291,0.000000,0.451198,1.237382,,,93.201454,127.500000,0.730992,0.000000
hda,HDA,14,70.000,replay/model/control-plane,0.980248,0.001766,14,1.181291,0.000000,0.451198,1.237382,,,88.124691,127.500000,0.691174,0.000000
kubernetes-default,K8s default,15,75.000,replay/model/control-plane,1.040382,0.057800,14,1.181291,0.000000,0.451198,1.237382,,,99.708481,127.500000,0.782027,0.000000
cga,CGA,15,75.000,replay/model/control-plane,1.040382,0.057800,14,1.181291,0.000000,0.451198,1.237382,,,91.922045,127.500000,0.720957,0.000000
hda,HDA,15,75.000,replay/model/control-plane,1.040382,0.057800,14,1.181291,0.000000,0.451198,1.237382,,,91.900559,127.500000,0.720789,0.000000
kubernetes-default,K8s default,16,80.000,replay/model/control-plane,0.951788,0.085155,14,1.181291,0.000000,0.451198,1.237382,,,102.039448,127.500000,0.800309,0.000000
cga,CGA,16,80.000,replay/model/control-plane,0.951788,0.085155,14,1.181291,0.000000,0.451198,1.237382,,,95.800240,127.500000,0.751374,0.000000
hda,HDA,16,80.000,replay/model/control-plane,0.951788,0.085155,14,1.181291,0.000000,0.451198,1.237382,,,91.180245,127.500000,0.715139,0.000000
kubernetes-default,K8s default,17,85.000,replay/model/control-plane,0.946216,0.005854,14,1.181291,0.000000,0.451198,1.237382,,,96.053765,127.500000,0.753363,0.000000
cga,CGA,17,85.000,replay/model/control-plane,0.946216,0.005854,14,1.181291,0.000000,0.451198,1.237382,,,92.794278,127.500000,0.727798,0.000000
hda,HDA,17,85.000,replay/model/control-plane,0.946216,0.005854,14,1.181291,0.000000,0.451198,1.237382,,,92.009579,127.500000,0.721644,0.000000
kubernetes-default,K8s default,18,90.000,replay/model/control-plane,1.039835,0.090032,14,1.181291,0.000000,0.451198,1.237382,,,104.748142,127.500000,0.821554,0.000000
cga,CGA,18,90.000,replay/model/control-plane,1.039835,0.090032,14,1.181291,0.000000,0.451198,1.237382,,,102.034286,127.500000,0.800269,0.000000
hda,HDA,18,90.000,replay/model/control-plane,1.039835,0.090032,14,1.181291,0.000000,0.451198,1.237382,,,95.537738,127.500000,0.749316,0.000000
kubernetes-default,K8s default,19,95.000,replay/model/control-plane,0.987796,0.050045,14,1.181291,0.000000,0.451198,1.237382,,,99.216210,127.500000,0.778166,0.000000
cga,CGA,19,95.000,replay/model/control-plane,0.987796,0.050045,14,1.181291,0.000000,0.451198,1.237382,,,93.617342,127.500000,0.734254,0.000000
hda,HDA,19,95.000,replay/model/control-plane,0.987796,0.050045,14,1.181291,0.000000,0.451198,1.237382,,,92.261837,127.500000,0.723622,0.000000
kubernetes-default,K8s default,20,100.000,replay/model/control-plane,0.968971,0.019058,14,1.181291,0.000000,0.451198,1.237382,,,100.379868,127.500000,0.787293,0.000000
cga,CGA,20,100.000,replay/model/control-plane,0.968971,0.019058,14,1.181291,0.000000,0.451198,1.237382,,,94.792858,127.500000,0.743473,0.000000
hda,HDA,20,100.000,replay/model/control-plane,0.968971,0.019058,14,1.181291,0.000000,0.451198,1.237382,,,87.210745,127.500000,0.684006,0.000000
kubernetes-default,K8s default,21,105.000,replay/model/control-plane,0.983743,0.015016,14,1.181291,0.000000,0.451198,1.237382,,,94.205412,127.500000,0.738866,0.000000
cga,CGA,21,105.000,replay/model/control-plane,0.983743,0.015016,14,1.181291,0.000000,0.451198,1.237382,,,93.998464,127.500000,0.737243,0.000000
hda,HDA,21,105.000,replay/model/control-plane,0.983743,0.015016,14,1.181291,0.000000,0.451198,1.237382,,,88.789356,127.500000,0.696387,0.000000
kubernetes-default,K8s default,22,110.000,replay/model/control-plane,0.988764,0.005078,14,1.181291,0.000000,0.451198,1.237382,,,96.650609,127.500000,0.758044,0.000000
cga,CGA,22,110.000,replay/model/control-plane,0.988764,0.005078,14,1.181291,0.000000,0.451198,1.237382,,,88.836842,127.500000,0.696760,0.000000
hda,HDA,22,110.000,replay/model/control-plane,0.988764,0.005078,14,1.181291,0.000000,0.451198,1.237382,,,87.989765,127.500000,0.690116,0.000000
kubernetes-default,K8s default,23,115.000,replay/model/control-plane,1.049319,0.057709,14,1.181291,0.000000,0.451198,1.237382,,,101.072485,127.500000,0.792725,0.000000
cga,CGA,23,115.000,replay/model/control-plane,1.049319,0.057709,14,1.181291,0.000000,0.451198,1.237382,,,96.553831,127.500000,0.757285,0.000000
hda,HDA,23,115.000,replay/model/control-plane,1.049319,0.057709,14,1.181291,0.000000,0.451198,1.237382,,,92.862747,127.500000,0.728335,0.000000
kubernetes-default,K8s default,24,120.000,replay/model/control-plane,0.976346,0.069544,14,1.181291,0.000000,0.451198,1.237382,,,103.258111,127.500000,0.809868,0.000000
cga,CGA,24,120.000,replay/model/control-plane,0.976346,0.069544,14,1.181291,0.000000,0.451198,1.237382,,,97.330922,127.500000,0.763380,0.000000
hda,HDA,24,120.000,replay/model/control-plane,0.976346,0.069544,14,1.181291,0.000000,0.451198,1.237382,,,89.355553,127.500000,0.700828,0.000000
kubernetes-default,K8s default,25,125.000,replay/model/control-plane,0.978481,0.002182,14,1.181291,0.000000,0.451198,1.237382,,,95.026335,127.500000,0.745305,0.000000
cga,CGA,25,125.000,replay/model/control-plane,0.978481,0.002182,14,1.181291,0.000000,0.451198,1.237382,,,92.080723,127.500000,0.722202,0.000000
hda,HDA,25,125.000,replay/model/control-plane,0.978481,0.002182,14,1.181291,0.000000,0.451198,1.237382,,,89.573233,127.500000,0.702535,0.000000
kubernetes-default,K8s default,26,130.000,replay/model/control-plane,1.016724,0.037614,14,1.181291,0.000000,0.451198,1.237382,,,104.777228,127.500000,0.821782,0.000000
cga,CGA,26,130.000,replay/model/control-plane,1.016724,0.037614,14,1.181291,0.000000,0.451198,1.237382,,,99.147066,127.500000,0.777624,0.000000
hda,HDA,26,130.000,replay/model/control-plane,1.016724,0.037614,14,1.181291,0.000000,0.451198,1.237382,,,96.053701,127.500000,0.753362,0.000000
kubernetes-default,K8s default,27,135.000,replay/model/control-plane,1.014388,0.002297,14,1.181291,0.000000,0.451198,1.237382,,,96.732194,127.500000,0.758684,0.000000
cga,CGA,27,135.000,replay/model/control-plane,1.014388,0.002297,14,1.181291,0.000000,0.451198,1.237382,,,91.104068,127.500000,0.714542,0.000000
hda,HDA,27,135.000,replay/model/control-plane,1.014388,0.002297,14,1.181291,0.000000,0.451198,1.237382,,,88.252653,127.500000,0.692178,0.000000
kubernetes-default,K8s default,28,140.000,replay/model/control-plane,1.056411,0.039778,14,1.181291,0.000000,0.451198,1.237382,,,102.464180,127.500000,0.803641,0.000000
