metric,value
mean_edge_jaccard_distance,0.04696982
mean_weighted_edge_distance,0.12494707
mean_hot_edge_rank_correlation,0.93572494
mean_graph_change_rate_per_s,1.24947054
mean_request_mix_entropy,1.82778500
mean_top3_hotspot_churn,0.09979960
mean_active_edge_count,8.20200000
mean_traffic_stress_gini,0.26000158
mean_traffic_stress_skew,0.12331718
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01596528
mean_gda_total_time_ms,0.01596528
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.62586278
traffic_stress_latency_correlation,0.28364863
kubernetes-default_mean_latency_ms,87.62079645
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.82778500
cga_mean_latency_ms,82.20854176
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.82778500
hda_mean_latency_ms,78.63461010
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.82778500
policy2_mean_latency_ms,80.38000176
policy2_mean_sla_violation_ratio,0.00000000
policy2_mean_request_mix_entropy,1.82778500
policy3_mean_latency_ms,79.44212172
policy3_mean_sla_violation_ratio,0.00000000
policy3_mean_request_mix_entropy,1.82778500
