benchmark,run_id,namespace,scale,replica_level,replica_config,workload_mode,repeat,policy,policy_display_name,step,time_s,evidence_type,request_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count,latency_ms,p50_ms,p95_ms,p99_ms,throughput_rps,error_rate,sla_ms,sla_pressure,sla_violation_ratio,worker_nodes_selected,actual_app_pods,ready_app_pods,non_empty_worker_nodes,pod_node_occupancy_ratio,pod_restarts,total_pods,cluster_cpu_utilization,cluster_memory_utilization,top_node_cpu_utilization
moe-serving,moe-longmix-stageC-scale45-replica1-markov-steps500-20260612T141954Z,idyn-moe-serving,scale45,replica1,aggregator_replicas=1;cache_replicas=1;expert_count=6;replicas_per_expert=1;router_replicas=1;state_replicas=1;total_app_pods=11,markov,,kubernetes-default,K8s default,0,0.000,replay,mixed,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,0.000000,0.024356,0.024356,8,10,0,62.326702,62.326702,62.326702,62.326702,90.000000,0.000000,110.555556,0.563759,0.000000,45,11,11,45,1.000000,,11,,,
moe-serving,moe-longmix-stageC-scale45-replica1-markov-steps500-20260612T141954Z,idyn-moe-serving,scale45,replica1,aggregator_replicas=1;cache_replicas=1;expert_count=6;replicas_per_expert=1;router_replicas=1;state_replicas=1;total_app_pods=11,markov,,cga,CGA,0,0.000,replay,mixed,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,0.000000,0.024356,0.024356,8,10,0,62.701435,62.701435,62.701435,62.701435,90.000000,0.000000,110.555556,0.567149,0.000000,45,11,11,45,1.000000,,11,,,
moe-serving,moe-longmix-stageC-scale45-replica1-markov-steps500-20260612T141954Z,idyn-moe-serving,scale45,replica1,aggregator_replicas=1;cache_replicas=1;expert_count=6;replicas_per_expert=1;router_replicas=1;state_replicas=1;total_app_pods=11,markov,,hda,HDA,0,0.000,replay,mixed,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,0.000000,0.024356,0.024356,8,10,0,58.315248,58.315248,58.315248,58.315248,90.000000,0.000000,110.555556,0.527475,0.000000,45,11,11,45,1.000000,,11,,,
moe-serving,moe-longmix-stageC-scale45-replica1-markov-steps500-20260612T141954Z,idyn-moe-serving,scale45,replica1,aggregator_replicas=1;cache_replicas=1;expert_count=6;replicas_per_expert=1;router_replicas=1;state_replicas=1;total_app_pods=11,markov,,policy2,Policy 2,0,0.000,replay,mixed,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,0.000000,0.024356,0.024356,8,10,0,59.284526,59.284526,59.284526,59.284526,90.000000,0.000000,110.555556,0.536242,0.000000,45,11,11,45,1.000000,,11,,,
moe-serving,moe-longmix-stageC-scale45-replica1-markov-steps500-20260612T141954Z,idyn-moe-serving,scale45,replica1,aggregator_replicas=1;cache_replicas=1;expert_count=6;replicas_per_expert=1;router_replicas=1;state_replicas=1;total_app_pods=11,markov,,policy3,Policy 3,0,0.000,replay,mixed,0.969300,0.000000,10,1.827785,0.000000,0.476110,0.462632,,,0.000000,0.024356,0.024356,8,10,0,55.131901,55.131901,55.131901,55.131901,90.000000,0.000000,110.555556,0.498681,0.000000,45,11,11,45,1.000000,,11,,,
moe-serving,moe-longmix-stageC-scale45-replica1-markov-steps500-20260612T141954Z,idyn-moe-serving,scale45,replica1,aggregator_replicas=1;cache_replicas=1;expert_count=6;replicas_per_expert=1;router_replicas=1;state_replicas=1;total_app_pods=11,markov,,kubernetes-default,K8s default,1,0.100,replay,mixed,0.966640,0.002743,10,1.827785,0.000000,0.476110,0.462632,,,0.000000,0.024235,0.024235,8,10,0,66.751193,66.751193,66.751193,66.751193,90.000000,0.000000,110.555556,0.603780,0.000000,45,11,11,45,1.000000,,11,,,
moe-serving,moe-longmix-stageC-scale45-replica1-markov-steps500-20260612T141954Z,idyn-moe-serving,scale45,replica1,aggregator_replicas=1;cache_replicas=1;expert_count=6;replicas_per_expert=1;router_replicas=1;state_replicas=1;total_app_pods=11,markov,,cga,CGA,1,0.100,replay,mixed,0.966640,0.002743,10,1.827785,0.000000,0.476110,0.462632,,,0.000000,0.024235,0.024235,8,10,0,59.695179,59.695179,59.695179,59.695179,90.000000,0.000000,110.555556,0.539956,0.000000,45,11,11,45,1.000000,,11,,,
moe-serving,moe-longmix-stageC-scale45-replica1-markov-steps500-20260612T141954Z,idyn-moe-serving,scale45,replica1,aggregator_replicas=1;cache_replicas=1;expert_count=6;replicas_per_expert=1;router_replicas=1;state_replicas=1;total_app_pods=11,markov,,hda,HDA,1,0.100,replay,mixed,0.966640,0.002743,10,1.827785,0.000000,0.476110,0.462632,,,0.000000,0.024235,0.024235,8,10,0,58.982296,58.982296,58.982296,58.982296,90.000000,0.000000,110.555556,0.533508,0.000000,45,11,11,45,1.000000,,11,,,
moe-serving,moe-longmix-stageC-scale45-replica1-markov-steps500-20260612T141954Z,idyn-moe-serving,scale45,replica1,aggregator_replicas=1;cache_replicas=1;expert_count=6;replicas_per_expert=1;router_replicas=1;state_replicas=1;total_app_pods=11,markov,,policy2,Policy 2,1,0.100,replay,mixed,0.966640,0.002743,10,1.827785,0.000000,0.476110,0.462632,,,0.000000,0.024235,0.024235,8,10,0,58.657661,58.657661,58.657661,58.657661,90.000000,0.000000,110.555556,0.530572,0.000000,45,11,11,45,1.000000,,11,,,
moe-serving,moe-longmix-stageC-scale45-replica1-markov-steps500-20260612T141954Z,idyn-moe-serving,scale45,replica1,aggregator_replicas=1;cache_replicas=1;expert_count=6;replicas_per_expert=1;router_replicas=1;state_replicas=1;total_app_pods=11,markov,,policy3,Policy 3,1,0.100,replay,mixed,0.966640,0.002743,10,1.827785,0.000000,0.476110,0.462632,,,0.000000,0.024235,0.024235,8,10,0,57.742239,57.742239,57.742239,57.742239,90.000000,0.000000,110.555556,0.522292,0.000000,45,11,11,45,1.000000,,11,,,
