metric,value
mean_edge_jaccard_distance,0.01978401
mean_weighted_edge_distance,0.05172674
mean_hot_edge_rank_correlation,0.98636828
mean_graph_change_rate_per_s,0.01034535
mean_request_mix_entropy,1.18129100
mean_top3_hotspot_churn,0.01005025
mean_active_edge_count,13.27500000
mean_traffic_stress_gini,0.40600437
mean_traffic_stress_skew,1.08767832
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay/model/control-plane
latency_sla_violation_correlation,0.38813781
latency_sla_pressure_correlation,0.67459805
traffic_stress_latency_correlation,-0.07387880
kubernetes-default_mean_latency_ms,104.51664526
kubernetes-default_mean_sla_violation_ratio,0.00028590
kubernetes-default_mean_request_mix_entropy,1.18129100
cga_mean_latency_ms,98.24556968
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.18129100
hda_mean_latency_ms,93.83375026
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.18129100
