NAMESPACE       NAME                                             TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                                      AGE
calico-system   calico-api                                       ClusterIP   10.104.253.153   <none>        443/TCP                                      27d
calico-system   calico-kube-controllers-metrics                  ClusterIP   None             <none>        9094/TCP                                     27d
calico-system   calico-typha                                     ClusterIP   10.106.19.83     <none>        5473/TCP                                     27d
calico-system   goldmane                                         ClusterIP   10.105.192.191   <none>        7443/TCP                                     27d
calico-system   whisker                                          ClusterIP   10.99.52.2       <none>        8081/TCP                                     27d
default         kubernetes                                       ClusterIP   10.96.0.1        <none>        443/TCP                                      27d
istio-system    istio-ingressgateway                             NodePort    10.105.138.25    <none>        15021:30427/TCP,80:32145/TCP,443:31298/TCP   22d
istio-system    istiod                                           ClusterIP   10.104.95.78     <none>        15010/TCP,15012/TCP,443/TCP,15014/TCP        22d
istio-system    istiod-revision-tag-default                      ClusterIP   10.97.176.25     <none>        15010/TCP,15012/TCP,443/TCP,15014/TCP        22d
istio-system    prometheus                                       ClusterIP   10.111.103.6     <none>        9090/TCP                                     22d
kube-system     kube-dns                                         ClusterIP   10.96.0.10       <none>        53/UDP,53/TCP,9153/TCP                       27d
kube-system     kube-prometheus-stack-coredns                    ClusterIP   None             <none>        9153/TCP                                     30h
kube-system     kube-prometheus-stack-kube-controller-manager    ClusterIP   None             <none>        10257/TCP                                    30h
kube-system     kube-prometheus-stack-kube-etcd                  ClusterIP   None             <none>        2381/TCP                                     30h
kube-system     kube-prometheus-stack-kube-proxy                 ClusterIP   None             <none>        10249/TCP                                    30h
kube-system     kube-prometheus-stack-kube-scheduler             ClusterIP   None             <none>        10259/TCP                                    30h
kube-system     kube-prometheus-stack-kubelet                    ClusterIP   None             <none>        10250/TCP,4194/TCP,10255/TCP                 30h
kube-system     metrics-server                                   ClusterIP   10.103.5.117     <none>        443/TCP                                      31h
monitoring      alertmanager-operated                            ClusterIP   None             <none>        9093/TCP,9094/TCP,9094/UDP                   30h
monitoring      kube-prometheus-stack-alertmanager               ClusterIP   10.104.82.242    <none>        9093/TCP,8080/TCP                            30h
monitoring      kube-prometheus-stack-grafana                    ClusterIP   10.105.136.209   <none>        80/TCP                                       30h
monitoring      kube-prometheus-stack-kube-state-metrics         ClusterIP   10.107.151.18    <none>        8080/TCP                                     30h
monitoring      kube-prometheus-stack-operator                   ClusterIP   10.97.182.30     <none>        443/TCP                                      30h
monitoring      kube-prometheus-stack-prometheus                 ClusterIP   10.96.184.28     <none>        9090/TCP,8080/TCP                            30h
monitoring      kube-prometheus-stack-prometheus-node-exporter   ClusterIP   10.106.90.157    <none>        9100/TCP                                     30h
monitoring      prometheus-operated                              ClusterIP   None             <none>        9090/TCP                                     30h

