metric,value
mean_edge_jaccard_distance,0.07061849
mean_weighted_edge_distance,0.15615559
mean_hot_edge_rank_correlation,0.82853701
mean_graph_change_rate_per_s,0.03123112
mean_request_mix_entropy,1.03504000
mean_top3_hotspot_churn,0.13627255
mean_active_edge_count,11.25000000
mean_traffic_stress_gini,0.43731329
mean_traffic_stress_skew,0.81930673
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay/model/control-plane
latency_sla_violation_correlation,0.60411443
latency_sla_pressure_correlation,0.90010824
traffic_stress_latency_correlation,0.24533151
kubernetes-default_mean_latency_ms,107.38494788
kubernetes-default_mean_sla_violation_ratio,0.00438905
kubernetes-default_mean_request_mix_entropy,1.03504000
cga_mean_latency_ms,100.97179810
cga_mean_sla_violation_ratio,0.00064136
cga_mean_request_mix_entropy,1.03504000
hda_mean_latency_ms,96.71735041
hda_mean_sla_violation_ratio,0.00006971
hda_mean_request_mix_entropy,1.03504000
