policy,policy_display_name,evidence_type,steps,mean_latency_ms,mean_sla_violation_ratio,max_sla_violation_ratio,mean_request_mix_entropy,mean_active_edge_count,migration_count_available,policy_decision_time_available
cga,CGA,replay/model/control-plane,500,100.971798,0.000641,0.060904,1.035040,11.250000,False,False
hda,HDA,replay/model/control-plane,500,96.717350,0.000070,0.034857,1.035040,11.250000,False,False
kubernetes-default,K8s default,replay/model/control-plane,500,107.384948,0.004389,0.125306,1.035040,11.250000,False,False
