mode,step,p_index,p_setCurrency,p_browseProduct,p_addToCart,p_viewCart,p_checkout
step,0,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,1,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,2,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,3,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,4,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,5,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,6,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,7,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,8,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,9,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,10,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,11,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,12,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,13,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,14,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,15,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,16,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,17,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,18,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,19,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,20,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,21,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,22,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,23,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,24,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,25,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,26,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,27,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,28,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,29,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,30,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,31,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,32,0.7157894736842105,0.03157894736842105,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,33,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,34,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,35,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,36,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,37,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,38,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,39,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,40,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
