policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.978681,0.000000,7,1.525982,0.000000,0.359677,1.100147,,,68.246682,113.447368,0.601571,0.000000
cga,CGA,0,0.000,replay,0.978681,0.000000,7,1.525982,0.000000,0.359677,1.100147,,,63.198781,113.447368,0.557076,0.000000
hda,HDA,0,0.000,replay,0.978681,0.000000,7,1.525982,0.000000,0.359677,1.100147,,,54.554645,113.447368,0.480881,0.000000
kubernetes-default,K8s default,1,1.000,replay,0.979490,0.000826,7,1.525982,0.000000,0.359677,1.100147,,,67.350774,113.447368,0.593674,0.000000
cga,CGA,1,1.000,replay,0.979490,0.000826,7,1.525982,0.000000,0.359677,1.100147,,,57.603866,113.447368,0.507759,0.000000
hda,HDA,1,1.000,replay,0.979490,0.000826,7,1.525982,0.000000,0.359677,1.100147,,,55.142791,113.447368,0.486065,0.000000
kubernetes-default,K8s default,2,2.000,replay,0.980291,0.000817,7,1.525982,0.000000,0.359677,1.100147,,,66.367110,113.447368,0.585004,0.000000
cga,CGA,2,2.000,replay,0.980291,0.000817,7,1.525982,0.000000,0.359677,1.100147,,,62.677372,113.447368,0.552480,0.000000
hda,HDA,2,2.000,replay,0.980291,0.000817,7,1.525982,0.000000,0.359677,1.100147,,,58.932753,113.447368,0.519472,0.000000
kubernetes-default,K8s default,3,3.000,replay,0.975723,0.004659,7,1.525982,0.000000,0.359677,1.100147,,,66.556199,113.447368,0.586670,0.000000
cga,CGA,3,3.000,replay,0.975723,0.004659,7,1.525982,0.000000,0.359677,1.100147,,,59.285423,113.447368,0.522581,0.000000
hda,HDA,3,3.000,replay,0.975723,0.004659,7,1.525982,0.000000,0.359677,1.100147,,,55.285875,113.447368,0.487326,0.000000
