step,time_s,p_index,p_setCurrency,p_browseProduct,p_addToCart,p_viewCart,p_checkout,qps_index,qps_setCurrency,qps_browseProduct,qps_addToCart,qps_viewCart,qps_checkout,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.668421,0.036842,0.184211,0.036842,0.055263,0.018421,80.210526,4.421053,22.105263,4.421053,6.631579,2.210526,0.978681,0.000000,0.000000,1.000000,0.00000000,1.525982,0.000000,7,0.359677,1.100147,,,68.246682,113.447368,0.601571,0.000000
1,1.000,0.668421,0.036842,0.184211,0.036842,0.055263,0.018421,80.210526,4.421053,22.105263,4.421053,6.631579,2.210526,0.979490,0.000000,0.000826,1.000000,0.00082571,1.525982,0.000000,7,0.359677,1.100147,,,67.350774,113.447368,0.593674,0.000000
2,2.000,0.668421,0.036842,0.184211,0.036842,0.055263,0.018421,80.210526,4.421053,22.105263,4.421053,6.631579,2.210526,0.980291,0.000000,0.000817,1.000000,0.00081703,1.525982,0.000000,7,0.359677,1.100147,,,66.367110,113.447368,0.585004,0.000000
3,3.000,0.668421,0.036842,0.184211,0.036842,0.055263,0.018421,80.210526,4.421053,22.105263,4.421053,6.631579,2.210526,0.975723,0.000000,0.004659,1.000000,0.00465947,1.525982,0.000000,7,0.359677,1.100147,,,66.556199,113.447368,0.586670,0.000000
4,4.000,0.668421,0.036842,0.184211,0.036842,0.055263,0.018421,80.210526,4.421053,22.105263,4.421053,6.631579,2.210526,1.013790,0.000000,0.037549,1.000000,0.03754854,1.525982,0.000000,7,0.359677,1.100147,,,66.786084,113.447368,0.588697,0.000000
5,5.000,0.018421,0.036842,0.834211,0.036842,0.055263,0.018421,2.210526,4.421053,100.105263,4.421053,6.631579,2.210526,0.948373,0.000000,0.459869,0.714286,0.45986948,1.012248,0.800000,7,0.347958,0.133792,,,110.333613,139.447368,0.791220,0.000000
6,6.000,0.018421,0.686842,0.184211,0.036842,0.055263,0.018421,2.210526,82.421053,22.105263,4.421053,6.631579,2.210526,0.969039,0.000000,0.635377,0.678571,0.63537694,1.440440,0.500000,7,0.467762,1.918165,,,100.543970,119.947368,0.838234,0.000000
7,7.000,0.018421,0.686842,0.184211,0.036842,0.055263,0.018421,2.210526,82.421053,22.105263,4.421053,6.631579,2.210526,1.004349,0.000000,0.035157,1.000000,0.03515728,1.440440,0.000000,7,0.467762,1.918165,,,73.841680,119.947368,0.615617,0.000000
8,8.000,0.018421,0.686842,0.184211,0.036842,0.055263,0.018421,2.210526,82.421053,22.105263,4.421053,6.631579,2.210526,0.964369,0.000000,0.039807,1.000000,0.03980729,1.440440,0.000000,7,0.467762,1.918165,,,72.896985,119.947368,0.607741,0.000000
9,9.000,0.018421,0.686842,0.184211,0.036842,0.055263,0.018421,2.210526,82.421053,22.105263,4.421053,6.631579,2.210526,1.016672,0.000000,0.051446,1.000000,0.05144564,1.440440,0.000000,7,0.467762,1.918165,,,77.060198,119.947368,0.642450,0.000000
10,10.000,0.018421,0.686842,0.184211,0.036842,0.055263,0.018421,2.210526,82.421053,22.105263,4.421053,6.631579,2.210526,0.992903,0.000000,0.023379,1.000000,0.02337908,1.440440,0.000000,7,0.467762,1.918165,,,73.224627,119.947368,0.610473,0.000000
11,11.000,0.018421,0.686842,0.184211,0.036842,0.055263,0.018421,2.210526,82.421053,22.105263,4.421053,6.631579,2.210526,1.044282,0.000000,0.049200,1.000000,0.04920031,1.440440,0.000000,7,0.467762,1.918165,,,76.931049,119.947368,0.641373,0.000000
12,12.000,0.018421,0.686842,0.184211,0.036842,0.055263,0.018421,2.210526,82.421053,22.105263,4.421053,6.631579,2.210526,0.990899,0.000000,0.051120,1.000000,0.05111960,1.440440,0.000000,7,0.467762,1.918165,,,79.186450,119.947368,0.660177,0.000000
13,13.000,0.018421,0.686842,0.184211,0.036842,0.055263,0.018421,2.210526,82.421053,22.105263,4.421053,6.631579,2.210526,1.050646,0.000000,0.056867,1.000000,0.05686684,1.440440,0.000000,7,0.467762,1.918165,,,78.171152,119.947368,0.651712,0.000000
14,14.000,0.018421,0.686842,0.184211,0.036842,0.055263,0.018421,2.210526,82.421053,22.105263,4.421053,6.631579,2.210526,1.063197,0.000000,0.011806,1.000000,0.01180567,1.440440,0.000000,7,0.467762,1.918165,,,74.973497,119.947368,0.625053,0.000000
