source,destination,active_steps,active_step_ratio,mean_weight,max_weight
cartservice,redis-cart,500,1.000000,33.841517,87.141146
checkoutservice,cartservice,85,0.170000,9.043207,69.064989
checkoutservice,currencyservice,85,0.170000,4.521603,34.532494
checkoutservice,emailservice,85,0.170000,4.521603,34.532494
checkoutservice,paymentservice,85,0.170000,7.912806,60.431865
checkoutservice,productcatalogservice,85,0.170000,4.521603,34.532494
checkoutservice,shippingservice,85,0.170000,6.782405,51.798742
frontend,adservice,468,0.936000,11.912290,38.393534
frontend,cartservice,500,1.000000,27.644558,94.989575
frontend,checkoutservice,85,0.170000,11.304009,86.331236
frontend,currencyservice,500,1.000000,39.170122,103.944962
frontend,productcatalogservice,500,1.000000,39.880773,111.438641
frontend,recommendationservice,500,1.000000,15.396474,64.997331
recommendationservice,productcatalogservice,500,1.000000,20.528632,86.663108
