benchmark,scale,replica_level,workload_mode,policy,evidence_type,steps,mean_latency_ms,p95_latency_ms,mean_sla_violation_ratio,mean_throughput_rps,mean_active_edge_count,mean_gda_total_time_ms,pod_node_occupancy_ratio
online-boutique,scale20,replica3,linear,cga,replay,200,84.741058,113.857300,0.000000,120.000000,13.345000,0.013118,
online-boutique,scale20,replica3,linear,hda,replay,200,81.187390,110.702646,0.000000,120.000000,13.345000,0.013118,
online-boutique,scale20,replica3,linear,kubernetes-default,replay,200,90.327050,122.158885,0.000000,120.000000,13.345000,0.013118,
