metric,value
mean_edge_jaccard_distance,0.00322264
mean_weighted_edge_distance,0.04111622
mean_hot_edge_rank_correlation,0.99780917
mean_graph_change_rate_per_s,0.04111624
mean_request_mix_entropy,1.99364156
mean_top3_hotspot_churn,0.00753769
mean_active_edge_count,13.34500000
mean_traffic_stress_gini,0.31824956
mean_traffic_stress_skew,0.94880906
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01311775
mean_gda_total_time_ms,0.01311775
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.31814073
traffic_stress_latency_correlation,-0.22274326
kubernetes-default_mean_latency_ms,90.32705010
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.99364156
cga_mean_latency_ms,84.74105821
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.99364156
hda_mean_latency_ms,81.18738982
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.99364156
