source,destination,active_steps,active_step_ratio,mean_weight,max_weight
cartservice,redis-cart,200,1.000000,36.462272,67.179811
checkoutservice,cartservice,189,0.945000,23.903725,66.866848
checkoutservice,currencyservice,173,0.865000,11.651474,33.433424
checkoutservice,emailservice,173,0.865000,11.651474,33.433424
checkoutservice,paymentservice,187,0.935000,20.869399,58.508492
checkoutservice,productcatalogservice,173,0.865000,11.651474,33.433424
checkoutservice,shippingservice,183,0.915000,17.793525,50.150136
frontend,adservice,200,1.000000,11.700056,23.499928
frontend,cartservice,200,1.000000,17.108163,24.054480
frontend,checkoutservice,191,0.955000,29.937240,83.583560
frontend,currencyservice,200,1.000000,21.852513,41.130354
frontend,productcatalogservice,200,1.000000,36.162799,63.720158
frontend,recommendationservice,200,1.000000,8.327282,11.579193
recommendationservice,productcatalogservice,200,1.000000,11.103043,15.438925
