service_count,active_edges,dense_found,sparse_found,dense_seconds,sparse_seconds
27,108,108,108,5.8650970458984375e-05,0.0002156060072593391
27,108,108,108,5.790800787508488e-05,0.00013051601126790047
27,108,108,108,5.645700730383396e-05,0.0001225699670612812
27,108,108,108,6.90699671395123e-05,0.00012772995978593826
27,108,108,108,5.6146993301808834e-05,0.0001254259841516614
27,108,108,108,5.6424993090331554e-05,0.000123312056530267
27,108,108,108,5.8439967688173056e-05,0.00012315198546275496
50,200,200,200,0.00019458698807284236,0.0002704189973883331
50,200,200,200,0.00019304401939734817,0.0002477060188539326
50,200,200,200,0.00019156094640493393,0.00028379500145092607
50,200,200,200,0.00019416504073888063,0.00023965100990608335
50,200,200,200,0.00019220297690480947,0.0002254760474897921
50,200,200,200,0.0002212960389442742,0.00023524300195276737
50,200,200,200,0.0002094249939545989,0.00022837001597508788
100,400,400,400,0.0006926730275154114,0.0005811460432596505
100,400,400,400,0.0007062709773890674,0.0004634929937310517
100,400,400,400,0.0007069610292091966,0.00045275199227035046
100,400,400,400,0.0007054489688016474,0.000504840980283916
100,400,400,400,0.0007102069794200361,0.00046767102321609855
100,400,400,400,0.0007037849863991141,0.0004559790249913931
100,400,400,400,0.0007396430009976029,0.00046095700236037374
200,800,800,800,0.003131437988486141,0.0011451360187493265
200,800,800,800,0.0028966940008103848,0.0009539169841445982
200,800,800,800,0.002910560986492783,0.0009719710214994848
200,800,800,800,0.0029170430498197675,0.0009398910333402455
200,800,800,800,0.002893869997933507,0.0009328069863840938
200,800,800,800,0.002882839005906135,0.0009725909912958741
200,800,800,800,0.0028114740271121264,0.0009643859812058508
500,2000,2000,2000,0.016584751021582633,0.00302813301095739
500,2000,2000,2000,0.016755492019001395,0.002561323984991759
500,2000,2000,2000,0.017117004026658833,0.0026097840163856745
500,2000,2000,2000,0.016455697012133896,0.0025107989786192775
500,2000,2000,2000,0.017192394996527582,0.0024421479902230203
500,2000,2000,2000,0.016703786968719214,0.0024224910303018987
500,2000,2000,2000,0.017291010997723788,0.0037187919951975346
1000,4000,4000,4000,0.07569711602991447,0.005948812002316117
1000,4000,4000,4000,0.07586218899814412,0.005317905044648796
1000,4000,4000,4000,0.07646824896801263,0.005390840990003198
1000,4000,4000,4000,0.07780648896005005,0.005345716024748981
1000,4000,4000,4000,0.07768313499400392,0.005540973041206598
1000,4000,4000,4000,0.07783530297456309,0.007630710024386644
1000,4000,4000,4000,0.07791688700672239,0.005292266956530511
