NAME             CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
emu-worker-1     92m          2%       2633Mi          16%         
emu-worker-10    85m          2%       2678Mi          16%         
emu-worker-11    60m          3%       2171Mi          24%         
emu-worker-12    62m          3%       2174Mi          24%         
emu-worker-13    69m          3%       2168Mi          24%         
emu-worker-14    68m          3%       2178Mi          24%         
emu-worker-15    49m          2%       2157Mi          24%         
emu-worker-16    29m          1%       2161Mi          24%         
emu-worker-17    45m          2%       2098Mi          23%         
emu-worker-18    20m          1%       2147Mi          24%         
emu-worker-19    57m          2%       2104Mi          23%         
emu-worker-2     339m         8%       2971Mi          18%         
emu-worker-20    47m          2%       2128Mi          24%         
emu-worker-21    35m          1%       2159Mi          24%         
emu-worker-22    70m          3%       2163Mi          24%         
emu-worker-23    51m          2%       2171Mi          24%         
emu-worker-24    66m          3%       2088Mi          23%         
emu-worker-25    36m          1%       2073Mi          23%         
emu-worker-26    47m          2%       2032Mi          23%         
emu-worker-27    41m          2%       2099Mi          23%         
emu-worker-28    57m          2%       2169Mi          24%         
emu-worker-29    65m          3%       2166Mi          24%         
emu-worker-3     660m         16%      2723Mi          17%         
emu-worker-30    47m          2%       2169Mi          24%         
emu-worker-31    52m          2%       2164Mi          24%         
emu-worker-32    36m          1%       2167Mi          24%         
emu-worker-33    47m          2%       2140Mi          24%         
emu-worker-34    44m          2%       2149Mi          24%         
emu-worker-35    45m          2%       2162Mi          24%         
emu-worker-36    53m          2%       2169Mi          24%         
emu-worker-37    61m          3%       2169Mi          24%         
emu-worker-38    40m          2%       2098Mi          23%         
emu-worker-39    63m          3%       2091Mi          23%         
emu-worker-4     282m         7%       3687Mi          23%         
emu-worker-40    43m          2%       2098Mi          23%         
emu-worker-41    62m          3%       2166Mi          24%         
emu-worker-42    61m          3%       2036Mi          23%         
emu-worker-43    52m          2%       2172Mi          24%         
emu-worker-44    41m          2%       2080Mi          23%         
emu-worker-45    27m          1%       2036Mi          23%         
emu-worker-5     62m          1%       2462Mi          15%         
emu-worker-6     1026m        25%      2726Mi          17%         
emu-worker-7     76m          1%       3065Mi          19%         
emu-worker-8     203m         5%       3024Mi          19%         
emu-worker-9     109m         2%       3697Mi          23%         
k8s-emu-master   788m         4%       9928Mi          15%         
