NAME             CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
emu-worker-1     790m         19%      2653Mi          16%         
emu-worker-10    54m          1%       2666Mi          16%         
emu-worker-11    51m          2%       2172Mi          24%         
emu-worker-12    49m          2%       2176Mi          24%         
emu-worker-13    45m          2%       2168Mi          24%         
emu-worker-14    50m          2%       2179Mi          24%         
emu-worker-15    53m          2%       2163Mi          24%         
emu-worker-16    24m          1%       2164Mi          24%         
emu-worker-17    39m          1%       2098Mi          23%         
emu-worker-18    24m          1%       2149Mi          24%         
emu-worker-19    45m          2%       2103Mi          23%         
emu-worker-2     158m         3%       2801Mi          17%         
emu-worker-20    41m          2%       2131Mi          24%         
emu-worker-21    34m          1%       2159Mi          24%         
emu-worker-22    52m          2%       2164Mi          24%         
emu-worker-23    55m          2%       2170Mi          24%         
emu-worker-24    51m          2%       2087Mi          23%         
emu-worker-25    31m          1%       2072Mi          23%         
emu-worker-26    31m          1%       2032Mi          23%         
emu-worker-27    38m          1%       2099Mi          23%         
emu-worker-28    40m          2%       2171Mi          24%         
emu-worker-29    51m          2%       2168Mi          24%         
emu-worker-3     54m          1%       2719Mi          17%         
emu-worker-30    33m          1%       2168Mi          24%         
emu-worker-31    47m          2%       2164Mi          24%         
emu-worker-32    32m          1%       2169Mi          24%         
emu-worker-33    29m          1%       2139Mi          24%         
emu-worker-34    29m          1%       2149Mi          24%         
emu-worker-35    49m          2%       2163Mi          24%         
emu-worker-36    42m          2%       2169Mi          24%         
emu-worker-37    41m          2%       2168Mi          24%         
emu-worker-38    40m          2%       2100Mi          23%         
emu-worker-39    41m          2%       2091Mi          23%         
emu-worker-4     205m         5%       3669Mi          23%         
emu-worker-40    36m          1%       2098Mi          23%         
emu-worker-41    53m          2%       2164Mi          24%         
emu-worker-42    51m          2%       2035Mi          23%         
emu-worker-43    43m          2%       2170Mi          24%         
emu-worker-44    42m          2%       2081Mi          23%         
emu-worker-45    18m          0%       2037Mi          23%         
emu-worker-5     63m          1%       2456Mi          15%         
emu-worker-6     265m         6%       2743Mi          17%         
emu-worker-7     217m         5%       3080Mi          19%         
emu-worker-8     75m          1%       2971Mi          18%         
emu-worker-9     184m         4%       3730Mi          23%         
k8s-emu-master   1475m        9%       10126Mi         15%         
