NAME                    ENDPOINTS               AGE
adservice               192.168.71.69:9555      3m22s
cartservice             192.168.135.100:7070    3m22s
checkoutservice         192.168.222.33:5050     3m23s
currencyservice         192.168.99.216:7000     3m23s
emailservice            192.168.173.142:8080    3m22s
frontend                192.168.65.13:8080      3m22s
frontend-external       192.168.65.13:8080      3m22s
paymentservice          192.168.42.88:50051     3m22s
productcatalogservice   192.168.137.200:3550    3m23s
recommendationservice   192.168.222.34:8080     3m22s
redis-cart              192.168.71.71:6379      3m22s
shippingservice         192.168.135.101:50051   3m22s
